State,Account length,Area code,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total day charge,Total eve minutes,Total eve calls,Total eve charge,Total night minutes,Total night calls,Total night charge,Total intl minutes,Total intl calls,Total intl charge,Customer service calls,Churn,Total minutes,Total calls,Total charge,Bin_Total day minutes,Bin_Total day calls,Bin_Total day charge,Bin_Total eve minutes,Bin_Total eve calls,Bin_Total eve charge,Bin_Total night minutes,Bin_Total night calls,Bin_Total night charge,Bin_Total intl minutes,Bin_Total intl charge,Bin_Total minutes,Bin_Total calls,Bin_Total charge,Bin_Account length
ID,160,415,0,0,0,85.8,77,14.59,165.3,110,14.05,178.5,92,8.03,9.2,4,2.48,3,0,438.8,283,39.15,3,5,3,5,7,5,5,5,5,5,5,3,5,3,7
WI,64,510,0,0,0,154.0,67,26.18,225.8,118,19.19,265.3,86,11.94,3.5,3,0.95,1,0,648.6,274,58.260000000000005,5,5,5,7,7,7,7,4,7,2,2,7,4,5,3
OR,59,408,0,1,28,120.9,97,20.55,213.0,92,18.11,163.1,116,7.34,8.5,5,2.3,2,0,505.5,310,48.3,4,6,4,6,6,6,4,6,4,5,5,4,6,4,3
DE,142,408,0,0,0,187.0,133,31.79,134.6,74,11.44,242.2,127,10.9,7.4,5,2.0,2,0,571.1999999999999,339,56.129999999999995,6,9,6,4,5,4,6,7,6,4,4,5,7,5,6
WY,97,415,0,1,24,133.2,135,22.64,217.2,58,18.46,70.6,79,3.18,11.0,3,2.97,1,0,432.0,275,47.25,4,9,4,6,4,6,2,4,2,6,6,3,4,4,4
IA,52,408,0,0,0,191.9,108,32.62,269.8,96,22.93,236.8,87,10.66,7.8,5,2.11,3,0,706.3,296,68.32,6,7,6,8,6,8,6,4,6,4,4,8,5,7,3
IN,60,408,0,0,0,220.6,57,37.5,211.1,115,17.94,249.0,129,11.21,6.8,3,1.84,1,0,687.5,304,68.49000000000001,7,4,7,6,7,6,7,7,7,4,4,7,6,7,3
UT,96,415,0,0,0,160.2,117,27.23,267.5,67,22.74,228.5,68,10.28,9.3,5,2.51,2,0,665.5,257,62.76,5,8,5,8,4,8,6,3,6,5,5,7,3,6,4
WY,87,415,0,0,0,151.0,83,25.67,219.7,116,18.67,203.9,127,9.18,9.7,3,2.62,5,1,584.3000000000001,329,56.14,5,6,5,7,7,7,5,7,5,5,5,5,7,5,4
IN,81,408,0,0,0,175.5,67,29.84,249.3,85,21.19,270.2,98,12.16,10.2,3,2.75,1,0,705.2,253,65.94,6,5,6,7,5,7,7,5,7,6,6,8,3,6,4
CO,141,415,0,0,0,126.9,98,21.57,180.0,62,15.3,140.8,128,6.34,8.0,2,2.16,1,0,455.7,290,45.370000000000005,4,6,4,5,4,5,4,7,4,4,4,3,5,4,6
CO,121,408,0,1,30,198.4,129,33.73,75.3,77,6.4,181.2,77,8.15,5.8,3,1.57,3,1,460.7,286,49.849999999999994,6,8,6,3,5,3,5,4,5,3,3,3,5,4,5
OK,125,408,0,0,0,229.3,103,38.98,177.4,126,15.08,189.3,95,8.52,12.0,8,3.24,1,0,608.0,332,65.82,7,7,7,5,8,5,5,5,5,6,6,6,7,6,6
ID,174,408,0,0,0,192.1,97,32.66,169.9,94,14.44,166.6,54,7.5,11.4,4,3.08,1,0,540.0,249,57.67999999999999,6,6,6,5,6,5,4,2,4,6,6,5,3,5,8
CA,116,415,0,1,34,268.6,83,45.66,178.2,142,15.15,166.3,106,7.48,11.6,3,3.13,2,0,624.7,334,71.41999999999999,8,6,8,5,9,5,4,6,4,6,6,6,7,7,5
SD,149,408,0,1,28,180.7,92,30.72,187.8,64,15.96,265.5,53,11.95,12.6,3,3.4,3,0,646.6,212,62.029999999999994,6,6,6,6,4,6,7,2,7,7,7,7,1,6,7
NC,38,408,0,0,0,131.2,98,22.3,162.9,97,13.85,159.0,106,7.15,8.2,6,2.21,2,0,461.3,307,45.51,4,6,4,5,6,5,4,6,4,5,5,3,6,4,2
WA,40,415,0,1,41,148.1,74,25.18,169.5,88,14.41,214.1,102,9.63,6.2,5,1.67,2,0,537.9000000000001,269,50.89000000000001,5,5,5,5,6,5,6,5,6,4,4,5,4,4,2
WY,43,415,1,0,0,251.5,105,42.76,212.8,104,18.09,157.8,67,7.1,9.3,4,2.51,0,0,631.4,280,70.46,8,7,8,6,7,6,4,3,4,5,5,6,4,7,2
MN,113,408,1,0,0,125.2,93,21.28,206.4,119,17.54,129.3,139,5.82,8.3,8,2.24,0,0,469.20000000000005,359,46.88,4,6,4,6,7,6,3,8,3,5,5,4,8,4,5
UT,126,408,0,0,0,211.6,70,35.97,216.9,80,18.44,153.5,60,6.91,7.8,1,2.11,1,0,589.8,211,63.42999999999999,7,5,7,6,5,6,4,2,4,4,4,6,1,6,6
TX,150,510,0,0,0,178.9,101,30.41,169.1,110,14.37,148.6,100,6.69,13.8,3,3.73,4,1,510.40000000000003,314,55.199999999999996,6,7,6,5,7,5,4,5,4,7,7,4,6,5,7
NJ,138,408,0,0,0,241.8,93,41.11,170.5,83,14.49,295.3,104,13.29,11.8,7,3.19,3,0,719.4,287,72.08,7,6,7,5,5,5,8,5,8,6,6,8,5,7,6
MN,162,510,0,1,46,224.9,97,38.23,188.2,84,16.0,254.6,61,11.46,12.1,2,3.27,0,0,679.8000000000001,244,68.96,7,6,7,6,5,6,7,2,7,7,7,7,3,7,7
NM,147,510,0,0,0,248.6,83,42.26,148.9,85,12.66,172.5,109,7.76,8.0,4,2.16,3,0,578.0,281,64.84,8,6,8,5,5,5,5,6,5,4,4,5,4,6,7
NV,90,415,0,0,0,203.4,146,34.58,226.7,117,19.27,152.4,105,6.86,7.3,4,1.97,1,0,589.8,372,62.67999999999999,6,9,6,7,7,7,4,6,4,4,4,6,9,6,4
MN,50,415,0,0,0,157.1,90,26.71,223.3,72,18.98,181.4,111,8.16,6.1,2,1.65,1,0,567.9,275,55.49999999999999,5,6,5,7,5,7,5,6,5,4,4,5,4,5,3
DC,82,415,0,0,0,300.3,109,51.05,181.0,100,15.39,270.1,73,12.15,11.7,4,3.16,0,1,763.1000000000001,286,81.75,9,7,9,5,6,5,7,3,7,6,6,8,5,9,4
NY,144,408,0,0,0,61.6,117,10.47,77.1,85,6.55,173.0,99,7.79,8.2,7,2.21,4,1,319.9,308,27.02,2,8,2,3,5,3,5,5,5,5,5,1,6,1,6
MD,70,408,0,0,0,170.2,98,28.93,155.2,102,13.19,228.6,76,10.29,15.0,2,4.05,1,0,569.0,278,56.459999999999994,5,6,5,5,6,5,6,4,6,8,8,5,4,5,3
WV,144,415,0,0,0,201.1,99,34.19,303.5,74,25.8,224.0,119,10.08,13.2,2,3.56,1,0,741.8000000000001,294,73.63,6,6,6,9,5,9,6,7,6,7,7,8,5,7,6
OR,116,415,1,0,0,215.4,104,36.62,204.8,79,17.41,278.5,109,12.53,12.6,5,3.4,3,0,711.3000000000001,297,69.96000000000001,7,7,7,6,5,6,7,6,7,7,7,8,5,7,5
CO,55,408,0,1,25,165.6,123,28.15,136.1,95,11.57,175.7,90,7.91,11.0,2,2.97,3,0,488.4,310,50.599999999999994,5,8,5,4,6,4,5,5,5,6,6,4,6,4,3
GA,70,415,0,1,24,249.5,101,42.42,259.7,98,22.07,222.7,68,10.02,9.8,4,2.65,1,0,741.6999999999999,271,77.16000000000001,8,7,8,8,6,8,6,3,6,5,5,8,4,8,3
TX,106,510,0,0,0,210.6,96,35.8,249.2,85,21.18,191.4,88,8.61,12.4,1,3.35,2,1,663.5999999999999,270,68.94,7,6,7,7,5,7,5,4,5,7,7,7,4,7,5
IN,94,408,0,0,0,157.9,105,26.84,155.0,101,13.18,189.6,84,8.53,8.0,5,2.16,4,1,510.5,295,50.709999999999994,5,7,5,5,6,5,5,4,5,4,4,4,5,4,4
WV,111,510,0,0,0,214.3,118,36.43,208.5,76,17.72,182.4,98,8.21,12.0,2,3.24,1,0,617.2,294,65.6,7,8,7,6,5,6,5,5,5,6,6,6,5,6,5
KY,74,415,0,1,35,154.1,104,26.2,123.4,84,10.49,202.1,57,9.09,10.9,9,2.94,2,0,490.5,254,48.72,5,7,5,4,5,4,5,2,5,6,6,4,3,4,4
NJ,128,415,0,0,0,237.9,125,40.44,247.6,93,21.05,208.9,68,9.4,13.9,4,3.75,1,1,708.3,290,74.64,7,8,7,7,6,7,5,3,5,7,7,8,5,8,6
DC,82,510,0,0,0,143.9,61,24.46,194.9,105,16.57,109.6,94,4.93,11.1,2,3.0,1,0,459.5,262,48.96,5,4,5,6,7,6,3,5,3,6,6,3,4,4,4
AR,80,415,0,0,0,124.3,100,21.13,173.0,107,14.71,253.2,62,11.39,7.9,9,2.13,1,0,558.4,278,49.36000000000001,4,7,4,5,7,5,7,3,7,4,4,5,4,4,4
ME,78,415,0,0,0,252.9,93,42.99,178.4,112,15.16,263.9,105,11.88,9.5,7,2.57,3,0,704.7,317,72.6,8,6,8,5,7,5,7,6,7,5,5,7,6,7,4
AZ,90,415,0,0,0,179.1,71,30.45,190.6,81,16.2,127.7,91,5.75,10.6,7,2.86,3,0,508.0,250,55.26,6,5,6,6,5,6,3,5,3,6,6,4,3,5,4
AK,104,408,0,0,0,278.4,106,47.33,81.0,113,6.89,163.2,137,7.34,9.8,5,2.65,1,0,532.3999999999999,361,64.21000000000001,8,7,8,3,7,3,4,8,4,5,5,5,8,6,5
AZ,99,415,0,0,0,198.2,87,33.69,207.3,76,17.62,190.9,113,8.59,8.7,3,2.35,4,0,605.1,279,62.25000000000001,6,6,6,6,5,6,5,6,5,5,5,6,4,6,5
MS,120,408,0,0,0,212.1,131,36.06,209.4,104,17.8,167.2,96,7.52,5.3,5,1.43,1,1,594.0,336,62.809999999999995,7,8,7,6,7,6,4,5,4,3,3,6,7,6,5
IA,98,510,0,1,21,161.2,114,27.4,252.2,83,21.44,160.2,92,7.21,4.4,8,1.19,4,0,577.9999999999999,297,57.24,5,7,5,7,5,7,4,5,4,3,3,5,5,5,5
VT,135,415,0,0,0,151.7,82,25.79,119.0,105,10.12,180.0,100,8.1,10.5,6,2.84,0,0,461.2,293,46.849999999999994,5,5,5,4,7,4,5,5,5,6,6,3,5,4,6
IN,122,408,0,0,0,170.5,94,28.99,173.7,109,14.76,248.6,75,11.19,11.3,2,3.05,1,0,604.0999999999999,280,57.989999999999995,5,6,5,5,7,5,7,3,7,6,6,6,4,5,5
AZ,95,408,0,0,0,238.1,65,40.48,187.2,98,15.91,190.0,115,8.55,11.8,4,3.19,4,0,627.0999999999999,282,68.13,7,4,7,6,6,6,5,6,5,6,6,6,5,7,4
NM,93,510,0,1,21,117.9,131,20.04,164.5,115,13.98,217.0,86,9.76,9.8,3,2.65,1,0,509.2,335,46.42999999999999,4,8,4,5,7,5,6,4,6,5,5,4,7,4,4
UT,157,408,0,0,0,229.8,90,39.07,147.9,121,12.57,241.4,108,10.86,9.6,7,2.59,3,0,628.7,326,65.09,7,6,7,5,8,5,6,6,6,5,5,6,6,6,7
MI,120,408,0,0,0,165.0,100,28.05,317.2,83,26.96,119.2,86,5.36,8.3,8,2.24,1,0,609.6999999999999,277,62.61000000000001,5,7,5,9,5,9,3,4,3,5,5,6,4,6,5
MA,103,415,0,0,0,185.0,117,31.45,223.3,94,18.98,222.8,91,10.03,12.6,2,3.4,2,0,643.7,304,63.86,6,8,6,7,6,7,6,5,6,7,7,6,6,6,5
AL,98,408,0,0,0,161.0,117,27.37,190.9,113,16.23,227.7,113,10.25,12.1,4,3.27,4,0,591.6999999999999,347,57.120000000000005,5,8,5,6,7,6,6,6,6,7,7,6,7,5,5
DE,125,408,0,0,0,126.7,108,21.54,206.0,90,17.51,247.8,114,11.15,13.3,7,3.59,1,0,593.8,319,53.78999999999999,4,7,4,6,6,6,7,6,7,7,7,6,6,5,6
ME,36,510,1,1,42,196.8,89,33.46,254.9,122,21.67,138.3,126,6.22,20.0,6,5.4,0,1,610.0,343,66.75,6,6,6,8,8,8,4,7,4,10,10,6,7,6,2
NJ,64,510,0,0,0,162.6,83,27.64,152.3,109,12.95,57.5,122,2.59,14.2,3,3.83,1,0,386.59999999999997,317,47.010000000000005,5,6,5,5,7,5,1,7,1,8,8,2,6,4,3
NV,74,415,0,0,0,282.5,114,48.03,219.9,48,18.69,170.0,115,7.65,9.4,4,2.54,1,1,681.8,281,76.91000000000001,9,7,9,7,3,7,4,6,4,5,5,7,4,8,4
MO,112,510,0,1,36,113.7,117,19.33,157.5,82,13.39,177.6,118,7.99,10.0,3,2.7,2,0,458.79999999999995,320,43.410000000000004,4,8,4,5,5,5,5,6,5,5,5,3,6,3,5
NE,46,408,0,0,0,210.2,92,35.73,227.3,77,19.32,200.1,116,9.0,13.1,7,3.54,1,0,650.7,292,67.59,6,6,6,7,5,7,5,6,5,7,7,7,5,7,2
TX,41,408,0,1,22,213.8,102,36.35,141.8,86,12.05,142.2,123,6.4,7.2,3,1.94,0,0,505.0,314,56.74,7,7,7,4,6,4,4,7,4,4,4,4,6,5,2
MD,121,510,0,0,0,190.7,103,32.42,183.5,117,15.6,220.8,103,9.94,9.8,4,2.65,3,0,604.8,327,60.61,6,7,6,6,7,6,6,5,6,5,5,6,7,6,5
MS,193,415,0,0,0,170.9,124,29.05,132.3,95,11.25,112.9,89,5.08,11.6,3,3.13,1,0,427.70000000000005,311,48.51,5,8,5,4,6,4,3,4,3,6,6,3,6,4,8
NV,130,510,0,0,0,154.2,119,26.21,110.2,98,9.37,227.4,117,10.23,9.2,5,2.48,2,0,500.99999999999994,339,48.29,5,8,5,4,6,4,6,6,6,5,5,4,7,4,6
AZ,85,408,0,0,0,201.4,52,34.24,229.4,104,19.5,252.5,106,11.36,12.0,3,3.24,1,0,695.3,265,68.33999999999999,6,4,6,7,7,7,7,6,7,6,6,7,4,7,4
MS,162,415,0,0,0,70.7,108,12.02,157.5,87,13.39,154.8,82,6.97,9.1,3,2.46,4,1,392.1,280,34.84,3,7,3,5,6,5,4,4,4,5,5,2,4,2,7
MS,61,510,0,1,27,187.5,124,31.88,146.6,103,12.46,225.7,129,10.16,6.4,6,1.73,4,1,566.1999999999999,362,56.23,6,8,6,5,7,5,6,7,6,4,4,5,8,5,3
TX,92,408,0,0,0,91.7,90,15.59,193.7,123,16.46,175.0,86,7.88,9.2,4,2.48,2,0,469.59999999999997,303,42.41,3,6,3,6,8,6,5,4,5,5,5,4,5,3,4
NE,131,408,0,1,36,214.2,115,36.41,161.7,117,13.74,264.7,102,11.91,9.5,4,2.57,3,0,650.0999999999999,338,64.63,7,7,7,5,7,5,7,5,7,5,5,7,7,6,6
NE,90,415,0,0,0,145.5,92,24.74,217.7,114,18.5,146.9,123,6.61,10.9,2,2.94,3,0,521.0,331,52.78999999999999,5,6,5,6,7,6,4,7,4,6,6,4,7,5,4
NJ,78,415,0,0,0,231.0,115,39.27,230.4,140,19.58,261.4,120,11.76,9.5,3,2.57,1,0,732.3,378,73.17999999999999,7,7,7,7,9,7,7,7,7,5,5,8,9,7,4
TX,82,408,0,0,0,200.3,96,34.05,201.2,102,17.1,206.1,60,9.27,7.1,1,1.92,4,0,614.7,259,62.34,6,6,6,6,6,6,5,2,5,4,4,6,4,6,4
AR,163,408,0,0,0,197.0,109,33.49,202.6,128,17.22,206.4,80,9.29,9.1,10,2.46,1,0,615.1,327,62.46,6,7,6,6,8,6,5,4,5,5,5,6,7,6,7
AL,91,510,1,0,0,129.9,112,22.08,173.3,83,14.73,247.2,130,11.12,11.2,3,3.02,3,0,561.6000000000001,328,50.95,4,7,4,5,5,5,7,7,7,6,6,5,7,4,4
NY,75,415,0,1,21,175.8,97,29.89,217.5,106,18.49,237.5,134,10.69,5.3,4,1.43,5,0,636.0999999999999,341,60.49999999999999,6,6,6,6,7,6,6,8,6,3,3,6,7,6,4
FL,91,510,0,0,0,203.1,106,34.53,210.1,113,17.86,195.6,129,8.8,12.0,3,3.24,3,0,620.8,351,64.42999999999999,6,7,6,6,7,6,5,7,5,6,6,6,8,6,4
AK,127,510,0,1,36,183.2,117,31.14,126.8,76,10.78,263.3,71,11.85,11.2,8,3.02,1,0,584.5,272,56.790000000000006,6,8,6,4,5,4,7,3,7,6,6,5,4,5,6
NV,113,415,0,1,23,205.0,101,34.85,152.0,60,12.92,158.6,59,7.14,10.2,5,2.75,2,0,525.8000000000001,225,57.660000000000004,6,7,6,5,4,5,4,2,4,6,6,5,2,5,5
DE,110,510,0,0,0,148.5,115,25.25,276.4,84,23.49,193.6,112,8.71,12.4,3,3.35,1,0,630.9,314,60.8,5,7,5,8,5,8,5,6,5,7,7,6,6,6,5
MD,120,415,0,1,39,200.3,68,34.05,220.4,97,18.73,253.8,116,11.42,10.5,4,2.84,0,0,685.0,285,67.04,6,5,6,7,6,7,7,6,7,6,6,7,5,7,5
MI,157,415,0,1,28,192.6,107,32.74,195.5,74,16.62,109.7,139,4.94,6.8,5,1.84,3,0,504.6,325,56.14,6,7,6,6,5,6,3,8,3,4,4,4,6,5,7
VT,103,510,0,0,0,246.5,47,41.91,195.5,84,16.62,200.5,96,9.02,11.7,4,3.16,1,0,654.2,231,70.71,8,3,8,6,5,6,5,5,5,6,6,7,2,7,5
VT,117,408,1,0,0,167.1,86,28.41,177.5,87,15.09,249.4,132,11.22,14.1,7,3.81,2,1,608.1,312,58.53,5,6,5,5,6,5,7,7,7,8,8,6,6,5,5
MI,140,415,0,0,0,231.9,101,39.42,160.1,94,13.61,110.4,98,4.97,14.3,6,3.86,3,0,516.6999999999999,299,61.86,7,7,7,5,6,5,3,5,3,8,8,4,5,6,6
UT,83,408,1,0,0,271.5,87,46.16,216.3,126,18.39,121.1,105,5.45,11.7,4,3.16,1,0,620.6,322,73.16,8,6,8,6,8,6,3,6,3,6,6,6,6,7,4
RI,145,408,0,1,43,257.7,97,43.81,162.1,95,13.78,286.9,86,12.91,11.1,4,3.0,2,0,717.8,282,73.5,8,6,8,5,6,5,8,4,8,6,6,8,5,7,6
IA,113,408,0,0,0,193.8,99,32.95,221.4,125,18.82,172.3,67,7.75,10.6,6,2.86,1,0,598.1,297,62.38,6,6,6,7,8,7,5,3,5,6,6,6,5,6,5
RI,56,415,0,0,0,226.0,112,38.42,248.5,118,21.12,140.5,142,6.32,6.9,11,1.86,1,0,621.9,383,67.72000000000001,7,7,7,7,7,7,4,8,4,4,4,6,9,7,3
OK,96,415,0,0,0,260.4,115,44.27,146.0,46,12.41,269.5,87,12.13,11.5,4,3.11,5,0,687.4,252,71.92,8,7,8,5,3,5,7,4,7,6,6,7,3,7,4
LA,151,408,0,0,0,178.7,116,30.38,292.1,138,24.83,265.9,101,11.97,9.8,4,2.65,0,0,746.5,359,69.83,6,8,6,9,9,9,7,5,7,5,5,8,8,7,7
OH,83,415,0,0,0,337.4,120,57.36,227.4,116,19.33,153.9,114,6.93,15.8,7,4.27,0,1,734.4999999999999,357,87.89,10,8,10,7,7,7,4,6,4,8,8,8,8,9,4
VA,139,510,0,1,23,157.6,129,26.79,247.0,96,21.0,259.2,112,11.66,13.7,2,3.7,0,0,677.5,339,63.150000000000006,5,8,5,7,6,7,7,6,7,7,7,7,7,6,6
FL,115,510,0,1,24,142.1,124,24.16,183.4,129,15.59,164.8,114,7.42,9.6,4,2.59,1,0,499.90000000000003,371,49.760000000000005,5,8,5,6,8,6,4,6,4,5,5,4,8,4,5
SC,87,415,0,0,0,136.3,97,23.17,172.2,108,14.64,137.5,101,6.19,7.1,5,1.92,0,0,453.1,311,45.92,4,6,4,5,7,5,4,5,4,4,4,3,6,4,4
VA,141,415,0,0,0,217.1,110,36.91,241.5,111,20.53,253.5,103,11.41,12.0,6,3.24,0,0,724.1,330,72.08999999999999,7,7,7,7,7,7,7,5,7,6,6,8,7,7,6
IA,141,510,0,1,36,187.5,99,31.88,241.4,116,20.52,229.5,105,10.33,10.5,5,2.84,3,0,668.9,325,65.57,6,6,6,7,7,7,6,6,6,6,6,7,6,6,6
