State,Area code,International plan,Voice mail plan,Number vmail messages,Total intl calls,Customer service calls,Churn,Bin_Total day minutes,Bin_Total day calls,Bin_Total day charge,Bin_Total eve minutes,Bin_Total eve calls,Bin_Total eve charge,Bin_Total night minutes,Bin_Total night calls,Bin_Total night charge,Bin_Total intl minutes,Bin_Total intl charge,Bin_Total minutes,Bin_Total calls,Bin_Total charge,Bin_Account length
FL,415,0,0,0,4,0,0,5,8,5,7,6,7,5,8,5,6,6,6,7,5,7
AZ,415,0,0,0,19,0,0,6,7,6,3,6,3,5,4,5,5,5,3,6,4,6
VA,510,0,0,0,2,0,0,3,6,3,7,5,7,6,6,6,6,6,5,4,4,6
NE,415,0,0,0,5,3,0,4,5,4,8,7,8,7,6,7,8,8,7,6,6,8
WY,408,0,1,39,3,0,0,7,7,7,6,7,6,5,6,5,5,5,6,7,6,3
MT,408,0,0,0,4,3,0,4,5,4,5,6,5,3,3,3,8,8,3,3,3,3
MO,415,0,0,0,6,0,0,6,7,6,8,5,8,5,5,5,4,4,6,5,6,1
IL,415,0,0,0,6,2,0,3,6,3,4,4,4,7,9,7,8,8,4,6,3,6
NH,510,0,0,0,5,1,0,7,7,7,6,7,6,6,5,7,6,6,7,6,7,4
LA,408,0,0,0,10,3,0,7,8,7,1,7,1,8,4,8,7,7,5,6,5,8
OK,408,0,1,25,4,0,0,6,6,6,6,5,6,6,6,6,5,5,6,5,5,3
GA,415,0,1,37,6,3,0,7,5,7,6,6,6,4,3,4,8,8,6,4,6,3
MA,415,0,0,0,5,1,0,4,4,4,7,7,7,6,6,6,5,5,6,5,5,4
AK,415,1,1,33,6,3,0,6,7,6,6,6,6,3,6,3,6,6,4,6,5,6
NJ,408,0,0,0,9,1,0,5,6,5,8,6,8,5,6,5,6,6,6,5,5,7
GA,408,0,0,0,2,3,0,4,7,4,5,5,5,5,8,5,5,5,4,6,4,5
AR,510,0,0,0,4,2,0,4,5,4,8,6,8,8,4,8,5,5,8,4,6,2
ID,415,0,0,0,4,3,0,3,5,3,5,7,5,5,5,5,5,5,3,5,3,7
WI,510,0,0,0,3,1,0,5,5,5,7,7,7,7,4,7,2,2,7,4,5,3
OR,408,0,1,28,5,2,0,4,6,4,6,6,6,4,6,4,5,5,4,6,4,3
DE,408,0,0,0,5,2,0,6,9,6,4,5,4,6,7,6,4,4,5,7,5,6
WY,415,0,1,24,3,1,0,4,9,4,6,4,6,2,4,2,6,6,3,4,4,4
IA,408,0,0,0,5,3,0,6,7,6,8,6,8,6,4,6,4,4,8,5,7,3
IN,408,0,0,0,3,1,0,7,4,7,6,7,6,7,7,7,4,4,7,6,7,3
UT,415,0,0,0,5,2,0,5,8,5,8,4,8,6,3,6,5,5,7,3,6,4
IN,408,0,0,0,3,1,0,6,5,6,7,5,7,7,5,7,6,6,8,3,6,4
CO,415,0,0,0,2,1,0,4,6,4,5,4,5,4,7,4,4,4,3,5,4,6
OK,408,0,0,0,8,1,0,7,7,7,5,8,5,5,5,5,6,6,6,7,6,6
ID,408,0,0,0,4,1,0,6,6,6,5,6,5,4,2,4,6,6,5,3,5,8
CA,415,0,1,34,3,2,0,8,6,8,5,9,5,4,6,4,6,6,6,7,7,5
SD,408,0,1,28,3,3,0,6,6,6,6,4,6,7,2,7,7,7,7,1,6,7
NC,408,0,0,0,6,2,0,4,6,4,5,6,5,4,6,4,5,5,3,6,4,2
WA,415,0,1,41,5,2,0,5,5,5,5,6,5,6,5,6,4,4,5,4,4,2
WY,415,1,0,0,4,0,0,8,7,8,6,7,6,4,3,4,5,5,6,4,7,2
MN,408,1,0,0,8,0,0,4,6,4,6,7,6,3,8,3,5,5,4,8,4,5
UT,408,0,0,0,1,1,0,7,5,7,6,5,6,4,2,4,4,4,6,1,6,6
NJ,408,0,0,0,7,3,0,7,6,7,5,5,5,8,5,8,6,6,8,5,7,6
MN,510,0,1,46,2,0,0,7,6,7,6,5,6,7,2,7,7,7,7,3,7,7
NM,510,0,0,0,4,3,0,8,6,8,5,5,5,5,6,5,4,4,5,4,6,7
NV,415,0,0,0,4,1,0,6,9,6,7,7,7,4,6,4,4,4,6,9,6,4
MN,415,0,0,0,2,1,0,5,6,5,7,5,7,5,6,5,4,4,5,4,5,3
MD,408,0,0,0,2,1,0,5,6,5,5,6,5,6,4,6,8,8,5,4,5,3
WV,415,0,0,0,2,1,0,6,6,6,9,5,9,6,7,6,7,7,8,5,7,6
OR,415,1,0,0,5,3,0,7,7,7,6,5,6,7,6,7,7,7,8,5,7,5
CO,408,0,1,25,2,3,0,5,8,5,4,6,4,5,5,5,6,6,4,6,4,3
GA,415,0,1,24,4,1,0,8,7,8,8,6,8,6,3,6,5,5,8,4,8,3
WV,510,0,0,0,2,1,0,7,8,7,6,5,6,5,5,5,6,6,6,5,6,5
KY,415,0,1,35,9,2,0,5,7,5,4,5,4,5,2,5,6,6,4,3,4,4
DC,510,0,0,0,2,1,0,5,4,5,6,7,6,3,5,3,6,6,3,4,4,4
AR,415,0,0,0,9,1,0,4,7,4,5,7,5,7,3,7,4,4,5,4,4,4
ME,415,0,0,0,7,3,0,8,6,8,5,7,5,7,6,7,5,5,7,6,7,4
AZ,415,0,0,0,7,3,0,6,5,6,6,5,6,3,5,3,6,6,4,3,5,4
AK,408,0,0,0,5,1,0,8,7,8,3,7,3,4,8,4,5,5,5,8,6,5
AZ,415,0,0,0,3,4,0,6,6,6,6,5,6,5,6,5,5,5,6,4,6,5
IA,510,0,1,21,8,4,0,5,7,5,7,5,7,4,5,4,3,3,5,5,5,5
VT,415,0,0,0,6,0,0,5,5,5,4,7,4,5,5,5,6,6,3,5,4,6
IN,408,0,0,0,2,1,0,5,6,5,5,7,5,7,3,7,6,6,6,4,5,5
AZ,408,0,0,0,4,4,0,7,4,7,6,6,6,5,6,5,6,6,6,5,7,4
NM,510,0,1,21,3,1,0,4,8,4,5,7,5,6,4,6,5,5,4,7,4,4
UT,408,0,0,0,7,3,0,7,6,7,5,8,5,6,6,6,5,5,6,6,6,7
MI,408,0,0,0,8,1,0,5,7,5,9,5,9,3,4,3,5,5,6,4,6,5
MA,415,0,0,0,2,2,0,6,8,6,7,6,7,6,5,6,7,7,6,6,6,5
AL,408,0,0,0,4,4,0,5,8,5,6,7,6,6,6,6,7,7,6,7,5,5
DE,408,0,0,0,7,1,0,4,7,4,6,6,6,7,6,7,7,7,6,6,5,6
NJ,510,0,0,0,3,1,0,5,6,5,5,7,5,1,7,1,8,8,2,6,4,3
MO,510,0,1,36,3,2,0,4,8,4,5,5,5,5,6,5,5,5,3,6,3,5
NE,408,0,0,0,7,1,0,6,6,6,7,5,7,5,6,5,7,7,7,5,7,2
TX,408,0,1,22,3,0,0,7,7,7,4,6,4,4,7,4,4,4,4,6,5,2
MD,510,0,0,0,4,3,0,6,7,6,6,7,6,6,5,6,5,5,6,7,6,5
MS,415,0,0,0,3,1,0,5,8,5,4,6,4,3,4,3,6,6,3,6,4,8
NV,510,0,0,0,5,2,0,5,8,5,4,6,4,6,6,6,5,5,4,7,4,6
AZ,408,0,0,0,3,1,0,6,4,6,7,7,7,7,6,7,6,6,7,4,7,4
TX,408,0,0,0,4,2,0,3,6,3,6,8,6,5,4,5,5,5,4,5,3,4
NE,408,0,1,36,4,3,0,7,7,7,5,7,5,7,5,7,5,5,7,7,6,6
NE,415,0,0,0,2,3,0,5,6,5,6,7,6,4,7,4,6,6,4,7,5,4
NJ,415,0,0,0,3,1,0,7,7,7,7,9,7,7,7,7,5,5,8,9,7,4
TX,408,0,0,0,1,4,0,6,6,6,6,6,6,5,2,5,4,4,6,4,6,4
AR,408,0,0,0,10,1,0,6,7,6,6,8,6,5,4,5,5,5,6,7,6,7
AL,510,1,0,0,3,3,0,4,7,4,5,5,5,7,7,7,6,6,5,7,4,4
NY,415,0,1,21,4,5,0,6,6,6,6,7,6,6,8,6,3,3,6,7,6,4
FL,510,0,0,0,3,3,0,6,7,6,6,7,6,5,7,5,6,6,6,8,6,4
AK,510,0,1,36,8,1,0,6,8,6,4,5,4,7,3,7,6,6,5,4,5,6
NV,415,0,1,23,5,2,0,6,7,6,5,4,5,4,2,4,6,6,5,2,5,5
DE,510,0,0,0,3,1,0,5,7,5,8,5,8,5,6,5,7,7,6,6,6,5
MD,415,0,1,39,4,0,0,6,5,6,7,6,7,7,6,7,6,6,7,5,7,5
MI,415,0,1,28,5,3,0,6,7,6,6,5,6,3,8,3,4,4,4,6,5,7
VT,510,0,0,0,4,1,0,8,3,8,6,5,6,5,5,5,6,6,7,2,7,5
MI,415,0,0,0,6,3,0,7,7,7,5,6,5,3,5,3,8,8,4,5,6,6
UT,408,1,0,0,4,1,0,8,6,8,6,8,6,3,6,3,6,6,6,6,7,4
RI,408,0,1,43,4,2,0,8,6,8,5,6,5,8,4,8,6,6,8,5,7,6
IA,408,0,0,0,6,1,0,6,6,6,7,8,7,5,3,5,6,6,6,5,6,5
RI,415,0,0,0,11,1,0,7,7,7,7,7,7,4,8,4,4,4,6,9,7,3
OK,415,0,0,0,4,5,0,8,7,8,5,3,5,7,4,7,6,6,7,3,7,4
LA,408,0,0,0,4,0,0,6,8,6,9,9,9,7,5,7,5,5,8,8,7,7
VA,510,0,1,23,2,0,0,5,8,5,7,6,7,7,6,7,7,7,7,7,6,6
FL,510,0,1,24,4,1,0,5,8,5,6,8,6,4,6,4,5,5,4,8,4,5
SC,415,0,0,0,5,0,0,4,6,4,5,7,5,4,5,4,4,4,3,6,4,4
VA,415,0,0,0,6,0,0,7,7,7,7,7,7,7,5,7,6,6,8,7,7,6
IA,510,0,1,36,5,3,0,6,6,6,7,7,7,6,6,6,6,6,7,6,6,6
MI,415,0,0,0,1,1,0,3,7,3,4,8,4,6,4,6,7,7,4,6,3,3
OK,415,0,0,0,3,1,0,6,10,6,5,6,5,4,5,4,4,4,5,7,5,6
DE,415,0,1,33,2,2,0,7,6,7,6,6,6,6,5,6,7,7,7,5,7,4
GA,510,0,1,31,3,1,0,6,8,6,5,8,5,7,7,7,4,4,6,9,6,8
DC,415,0,0,0,3,1,0,6,7,6,7,8,7,7,5,7,6,6,8,6,7,7
AZ,408,0,1,38,4,1,0,5,8,5,6,7,6,3,3,3,7,7,4,6,5,4
CO,408,0,0,0,2,1,0,7,7,7,7,7,7,2,4,2,7,7,5,5,7,3
LA,408,0,0,0,5,0,0,7,6,7,5,8,5,6,5,6,4,4,6,6,6,8
NE,415,0,0,0,7,2,0,8,7,8,5,8,5,4,6,4,6,6,6,7,7,4
MN,415,0,0,0,3,0,0,5,6,5,6,7,6,5,6,5,7,7,5,6,5,3
AR,408,0,0,0,10,3,0,5,6,5,6,5,6,5,6,5,9,9,6,5,6,5
KS,408,0,0,0,0,3,0,7,8,7,9,7,9,5,6,5,0,0,8,7,7,3
WV,510,1,1,23,5,4,0,6,8,6,6,8,6,7,5,7,5,5,7,8,7,4
NY,408,0,1,36,12,2,0,4,7,4,7,6,7,4,5,4,5,5,5,6,4,3
NH,408,0,0,0,7,2,0,6,6,6,7,4,7,6,7,6,8,8,7,5,6,1
VA,510,1,0,0,3,3,0,8,5,8,7,8,7,3,7,3,5,5,7,6,7,7
NM,415,0,0,0,13,1,0,7,9,7,8,8,8,6,5,6,6,6,8,9,7,3
NY,408,0,0,0,4,1,0,5,5,5,2,9,2,5,5,5,6,6,3,6,3,5
WY,510,0,0,0,3,1,0,5,7,5,5,8,5,5,6,5,5,5,4,8,4,7
WA,408,0,0,0,3,1,0,7,7,7,6,6,6,6,6,6,5,5,7,6,7,3
CO,415,0,0,0,4,0,0,4,6,4,5,6,5,3,6,3,5,5,3,5,4,5
TX,415,0,0,0,2,1,0,6,7,6,3,7,3,6,3,6,5,5,4,5,4,6
KY,408,0,0,0,4,2,0,6,5,6,6,5,6,5,7,5,5,5,6,4,6,4
MT,415,0,0,0,2,0,0,4,8,4,6,6,6,4,7,4,7,7,4,7,4,4
OK,408,0,1,23,4,1,0,9,4,9,5,7,5,3,4,3,5,5,6,3,7,5
MD,415,0,1,23,6,1,0,6,6,6,5,6,5,5,5,5,4,4,5,4,5,5
TN,415,0,0,0,8,0,0,5,8,5,6,7,6,7,7,7,5,5,6,8,5,4
DC,408,0,0,0,3,0,0,3,4,3,5,7,5,6,4,6,7,7,4,4,3,3
MN,415,0,1,24,5,3,0,5,9,5,7,8,7,7,5,7,7,7,6,9,5,3
DE,408,0,0,0,1,2,0,6,7,6,10,6,10,6,7,6,6,6,9,6,7,3
MD,415,0,0,0,8,3,0,7,6,7,6,6,6,6,6,6,4,4,7,5,6,4
MI,510,0,0,0,3,2,0,5,7,5,5,3,5,6,4,6,4,4,5,3,4,5
WA,415,0,0,0,4,1,0,5,7,5,8,5,8,5,5,5,5,5,6,5,5,7
MO,415,0,1,36,2,1,0,4,5,4,6,5,6,5,6,5,7,7,4,4,4,3
OR,415,0,0,0,5,3,0,6,6,6,6,6,6,6,5,6,6,6,6,5,6,2
MD,510,0,0,0,5,3,0,7,6,7,5,5,5,7,7,7,7,7,6,5,6,5
RI,510,0,0,0,7,3,0,7,7,7,7,6,7,6,4,6,8,8,8,5,7,5
AZ,510,1,0,0,11,0,0,6,7,6,7,7,7,5,5,5,6,6,7,6,7,6
PA,415,0,1,24,3,1,0,5,8,5,7,7,7,3,3,3,6,6,5,6,5,4
AZ,408,0,1,31,6,1,0,5,9,5,4,7,4,7,7,7,7,7,5,9,5,4
LA,415,0,0,0,6,3,0,6,6,6,5,6,5,6,7,6,6,6,6,7,5,4
FL,415,0,0,0,3,0,0,5,6,5,6,5,6,5,7,5,6,6,4,5,5,4
FL,415,0,0,0,7,3,0,6,5,6,7,5,7,7,5,7,3,3,7,4,6,5
AL,415,0,0,0,12,0,0,7,8,7,4,6,4,5,6,5,4,4,5,7,5,5
WA,415,0,0,0,6,3,0,6,8,6,5,6,5,6,5,6,7,7,5,6,5,4
TN,408,0,1,22,6,1,0,5,7,5,5,7,5,6,3,6,6,6,6,5,5,6
ME,408,0,0,0,6,2,0,5,7,5,7,8,7,5,5,5,5,5,5,7,5,2
OK,408,0,0,0,1,2,0,2,6,2,5,5,5,6,6,6,7,7,4,5,3,4
MO,415,0,0,0,2,3,0,6,6,6,7,5,7,6,8,6,4,4,7,5,7,6
IA,408,0,1,27,3,2,0,6,5,6,6,5,6,2,8,2,5,5,3,5,5,6
VA,415,0,1,23,3,4,0,8,9,8,7,6,7,4,5,4,7,7,7,7,8,5
OH,415,1,1,36,6,1,0,6,7,6,9,7,9,5,5,5,6,6,7,6,7,3
OK,415,0,0,0,2,3,0,6,6,6,6,8,6,5,7,5,7,7,6,7,6,5
NV,415,0,0,0,2,0,0,5,6,5,7,6,7,4,6,4,6,6,5,5,5,3
ID,415,1,0,0,5,1,0,5,9,5,7,7,7,6,6,6,5,5,7,8,6,4
SD,408,0,1,40,9,2,0,6,7,6,4,8,4,6,5,6,5,5,5,7,5,5
IL,408,0,0,0,7,3,0,3,8,3,6,6,6,5,5,5,5,5,4,6,3,5
AL,415,0,0,0,6,1,0,6,6,6,5,7,5,4,4,4,5,5,4,5,5,3
NJ,510,0,0,0,5,0,0,7,6,7,3,8,3,5,4,5,7,7,4,5,5,6
IN,415,0,0,0,2,1,0,8,5,8,6,9,6,7,5,7,5,5,8,7,7,2
WV,408,0,0,0,2,3,0,7,5,7,5,4,5,5,6,5,4,4,6,3,6,4
SC,408,0,0,0,5,0,0,4,7,4,5,6,5,5,5,5,5,5,4,5,3,1
RI,415,0,1,37,3,0,0,2,7,2,3,5,3,7,6,7,6,6,3,5,2,5
IN,510,0,0,0,5,0,0,7,6,7,5,4,5,7,3,7,6,6,7,2,6,3
NJ,415,0,0,0,7,4,0,6,6,6,5,7,5,5,8,5,8,8,6,8,6,5
MS,408,0,0,0,8,3,0,6,6,6,7,5,7,5,6,5,5,5,6,5,6,4
TX,415,1,0,0,3,0,0,5,8,5,8,5,8,5,4,5,6,6,6,5,5,4
DC,510,0,0,0,3,1,0,4,8,4,5,7,5,6,5,6,5,5,5,7,4,5
TX,415,0,0,0,8,1,0,3,8,3,7,6,7,5,5,5,8,8,5,6,4,5
UT,510,0,0,0,4,1,0,5,5,5,7,8,7,4,4,4,5,5,5,5,5,3
MN,510,0,1,25,9,1,0,5,7,5,6,7,6,6,2,6,4,4,6,4,5,1
IL,408,0,0,0,1,1,0,4,6,4,4,7,4,6,2,6,8,8,4,4,4,7
NM,415,0,0,0,3,1,0,5,7,5,6,7,6,5,5,5,6,6,5,6,5,5
WV,510,0,1,30,6,1,0,6,5,6,8,6,8,8,4,8,6,6,9,4,7,5
RI,510,0,1,28,9,4,0,7,6,7,6,7,6,6,5,6,5,5,7,6,7,5
NH,408,0,0,0,6,3,0,4,6,4,5,5,5,7,5,7,7,7,6,4,5,5
MA,408,1,0,0,3,2,0,5,8,5,5,6,5,5,5,5,5,5,5,6,5,5
PA,415,0,0,0,3,0,0,6,7,6,7,7,7,7,5,7,8,8,7,6,7,5
OK,415,0,0,0,3,1,0,4,8,4,5,5,5,5,5,5,4,4,4,6,4,5
AL,415,0,1,28,13,3,0,7,5,7,7,6,7,5,6,5,4,4,7,5,7,2
WY,415,0,0,0,3,3,0,6,7,6,7,6,7,5,5,5,7,7,6,6,6,6
PA,408,0,1,28,3,1,0,5,6,5,6,5,6,6,6,6,5,5,6,5,5,4
HI,510,1,0,0,4,0,0,7,6,7,6,5,6,5,5,5,6,6,6,4,7,7
AL,415,0,1,25,6,2,0,6,6,6,7,7,7,7,2,7,6,6,7,3,6,6
VT,510,1,0,0,6,3,0,6,9,6,7,6,7,6,6,6,6,6,7,7,6,6
AK,415,0,1,37,1,1,0,7,7,7,5,5,5,4,4,4,7,7,5,4,5,2
MI,415,0,1,28,2,1,0,7,5,7,8,6,8,6,6,6,5,5,8,4,8,4
DE,415,0,0,0,5,3,0,6,7,6,5,7,5,7,2,7,4,4,7,4,6,3
MI,510,0,0,0,5,2,0,6,8,6,4,6,4,5,4,5,5,5,5,6,5,6
KS,408,0,0,0,4,2,0,6,6,6,6,6,6,8,4,8,8,8,8,4,7,6
AL,510,0,0,0,5,0,0,6,6,6,4,4,4,7,5,7,8,8,6,3,6,7
NE,510,0,0,0,3,0,0,3,7,3,4,5,4,3,7,3,5,5,2,6,2,6
WI,510,0,0,0,4,1,0,6,7,6,6,7,6,4,6,4,3,3,4,7,5,4
WI,510,0,1,18,3,1,0,5,6,5,4,7,4,7,3,7,5,5,5,4,5,4
IN,510,0,0,0,5,1,0,6,7,6,5,9,5,6,6,6,5,5,6,9,6,7
DC,415,0,0,0,5,2,0,3,6,3,7,4,7,4,4,4,6,6,4,3,3,4
AR,415,0,0,0,1,0,0,5,8,5,6,4,6,6,5,6,6,6,6,4,5,2
ME,415,0,0,0,9,4,0,7,8,7,7,7,7,5,5,5,4,4,7,7,6,5
MD,415,0,0,0,4,2,0,5,5,5,4,5,4,5,6,5,6,6,4,4,4,3
IA,415,0,0,0,4,1,0,5,7,5,9,7,9,6,4,6,5,5,7,6,6,7
AZ,510,0,0,0,10,1,0,3,8,3,7,5,7,6,5,6,6,6,5,5,4,6
MO,415,0,0,0,5,2,0,7,7,7,7,7,7,5,3,5,5,5,7,5,7,9
RI,510,0,0,0,2,0,0,6,7,6,6,5,6,5,6,5,6,6,5,5,6,5
SD,415,0,0,0,4,3,0,7,8,7,8,6,8,5,3,5,5,5,7,5,7,9
TX,415,0,1,38,6,1,0,7,7,7,6,7,6,5,4,5,5,5,6,5,7,5
VA,510,0,0,0,3,0,0,6,5,6,5,6,5,6,3,6,6,6,6,2,6,1
MA,408,0,0,0,4,0,0,3,9,3,8,8,8,5,4,5,5,5,6,7,4,3
ID,408,0,0,0,2,0,0,4,6,4,6,7,6,7,6,7,10,10,6,6,5,6
MA,408,0,0,0,3,1,0,2,10,2,9,8,9,3,1,3,7,7,4,7,4,2
GA,415,0,1,28,4,2,0,4,7,4,8,6,8,4,4,4,4,4,5,5,5,5
RI,415,0,1,29,3,3,0,4,4,4,8,7,8,4,4,4,4,4,5,4,4,5
ID,510,0,1,21,5,3,0,7,6,7,6,7,6,7,5,7,3,3,8,6,7,8
MA,510,0,0,0,3,0,0,6,5,6,8,6,8,8,4,8,4,4,8,3,6,4
WY,415,0,1,32,3,1,0,4,5,4,5,7,5,6,4,6,7,7,5,4,4,5
VA,408,0,0,0,3,0,0,4,7,4,8,7,8,6,3,6,5,5,6,5,5,5
OR,415,0,0,0,4,1,0,3,9,3,7,6,7,7,5,7,6,6,6,6,4,7
VA,408,0,0,0,5,3,0,6,6,6,5,8,5,6,6,6,7,7,6,7,6,6
ME,510,0,1,30,3,0,0,2,7,2,7,7,7,4,6,4,4,4,3,7,2,5
GA,408,0,1,33,4,1,0,7,7,7,7,7,7,4,5,4,5,5,6,6,7,6
IA,510,0,0,0,3,0,0,6,8,6,6,6,6,5,5,5,7,7,6,6,6,4
AZ,510,0,0,0,12,0,0,6,6,6,7,5,7,2,6,2,8,8,5,5,6,7
FL,510,0,0,0,2,3,0,6,6,6,9,8,9,3,5,3,4,4,6,7,7,5
DE,510,0,0,0,4,0,0,5,6,5,8,6,8,5,4,5,5,5,7,4,6,5
MT,510,0,0,0,4,1,0,6,6,6,5,4,5,6,5,6,4,4,6,4,6,3
KY,408,0,1,17,4,1,0,7,6,7,4,6,4,4,1,4,5,5,5,2,5,7
SC,510,0,0,0,2,0,0,5,5,5,8,5,8,4,5,4,6,6,6,3,6,5
WA,415,0,0,0,7,2,0,6,8,6,5,7,5,8,8,8,4,4,7,9,6,3
AK,408,0,0,0,2,0,0,7,5,7,6,8,6,5,5,5,8,8,6,5,7,4
MN,415,0,0,0,11,1,0,6,7,6,8,6,8,7,8,7,6,6,8,9,7,5
IL,415,0,1,34,7,0,0,7,7,7,5,5,5,6,3,6,7,7,6,4,6,2
IN,408,0,1,21,0,2,0,2,6,2,5,6,5,6,4,6,0,0,4,4,2,5
SC,510,0,1,37,3,1,0,5,6,5,3,7,3,4,5,4,7,7,3,5,3,3
VA,415,0,0,0,8,3,0,8,8,8,5,8,5,4,7,4,4,4,5,9,7,6
WI,415,0,1,33,5,1,0,5,8,5,4,6,4,7,5,7,7,7,5,6,5,4
VT,510,0,0,0,11,1,0,7,8,7,5,8,5,5,4,5,6,6,5,7,6,7
AZ,415,0,1,41,5,3,0,5,8,5,5,7,5,3,6,3,7,7,3,7,4,4
AK,510,0,0,0,8,4,0,6,7,6,6,6,6,6,5,6,6,6,6,6,6,3
AR,415,1,1,38,4,4,0,7,5,7,7,5,7,6,4,6,6,6,7,3,7,8
AR,408,0,0,0,3,1,0,5,7,5,5,8,5,2,4,2,3,3,3,7,4,4
AK,415,0,0,0,9,2,0,6,6,6,6,6,6,5,4,5,8,8,6,4,6,5
ME,415,0,0,0,2,1,0,5,7,5,3,6,3,6,5,6,7,7,4,5,4,2
NM,408,0,1,23,2,2,0,4,6,4,7,8,7,3,5,3,5,5,4,6,4,5
NE,408,1,1,39,4,1,0,5,8,5,6,5,6,3,5,3,5,5,4,5,4,2
SC,408,0,1,29,4,1,0,5,7,5,8,7,8,5,5,5,3,3,6,6,5,4
OH,415,0,1,36,5,1,0,5,8,5,7,7,7,6,7,6,6,6,6,8,5,2
OK,408,0,0,0,2,0,0,5,6,5,6,7,6,5,4,5,6,6,5,5,5,8
NC,415,0,0,0,3,4,0,6,6,6,8,8,8,3,6,3,5,5,6,7,6,5
MD,415,0,0,0,3,1,0,3,8,3,7,7,7,7,5,7,9,9,6,7,4,2
KS,415,0,0,0,5,1,0,3,7,3,7,9,7,4,6,4,4,4,4,8,3,6
MA,415,0,0,0,2,0,0,6,6,6,8,8,8,4,4,4,8,8,6,5,7,6
NM,408,0,0,0,6,2,0,6,7,6,7,6,7,6,5,6,6,6,7,6,6,3
NY,415,0,0,0,2,2,0,5,6,5,7,6,7,4,6,4,8,8,5,6,5,2
AZ,415,0,0,0,6,2,0,6,5,6,6,6,6,7,2,7,5,5,7,3,6,4
DC,415,0,0,0,7,2,0,5,6,5,4,7,4,5,6,5,6,6,4,6,4,6
ND,408,0,0,0,18,1,0,6,8,6,6,7,6,6,6,6,4,4,7,8,6,4
KS,415,0,0,0,4,2,0,7,7,7,5,7,5,6,5,6,4,4,6,6,6,6
SD,510,0,0,0,2,3,0,7,8,7,6,6,6,6,2,6,8,8,7,4,7,6
OK,415,0,0,0,4,1,0,5,7,5,5,6,5,6,6,6,8,8,5,6,5,4
OR,415,1,0,0,4,0,0,6,6,6,4,5,4,7,5,7,3,3,5,4,5,7
IN,415,1,1,22,5,1,0,6,5,6,9,5,9,6,7,6,2,2,8,5,7,5
OH,408,0,0,0,4,2,0,5,8,5,7,6,7,5,4,5,4,4,6,5,5,4
KS,415,0,0,0,7,4,0,7,7,7,7,5,7,5,6,5,6,6,7,6,7,6
CT,415,0,0,0,1,3,0,5,4,5,8,6,8,9,5,9,5,5,8,4,6,5
WI,415,0,0,0,3,1,0,3,6,3,8,9,8,4,6,4,6,6,5,7,4,4
MS,510,0,0,0,6,3,0,4,6,4,7,5,7,8,5,8,6,6,7,4,5,7
WV,415,0,0,0,2,1,0,5,8,5,7,6,7,6,5,6,6,6,6,6,6,2
MD,415,0,0,0,5,5,0,6,6,6,5,9,5,6,6,6,7,7,6,8,6,5
PA,510,0,0,0,3,2,0,7,5,7,6,6,6,5,5,5,5,5,6,4,6,5
TN,415,0,1,22,5,0,0,8,6,8,3,9,3,3,1,3,5,5,4,4,6,5
IL,510,0,0,0,4,1,0,6,8,6,4,7,4,5,6,5,5,5,4,8,5,4
GA,415,0,1,31,1,1,0,4,7,4,7,6,7,6,6,6,6,6,5,6,5,5
ID,415,0,0,0,3,0,0,7,8,7,4,6,4,6,6,6,6,6,5,7,6,4
KY,510,0,0,0,6,1,0,7,8,7,5,7,5,4,6,4,6,6,5,7,6,5
