,card_id,disp_id,type,issued
493,504,3230,junior,1995-11-06
494,505,3233,junior,1998-10-09
495,506,3236,gold,1998-12-19
496,507,3245,classic,1997-12-11
497,508,3249,classic,1998-08-03
498,509,3253,gold,1998-07-30
499,510,3256,classic,1998-04-13
500,511,3257,junior,1997-08-06
501,512,3259,classic,1997-07-24
502,513,3260,classic,1997-03-15
503,514,3267,classic,1996-09-10
504,515,3268,classic,1998-03-23
505,516,3279,classic,1996-10-25
506,517,3291,classic,1998-01-09
507,518,3292,gold,1998-02-10
508,519,3297,classic,1998-08-16
509,520,3308,classic,1998-09-25
510,521,3310,classic,1997-12-17
511,523,3319,junior,1998-11-23
512,524,3333,classic,1998-11-02
513,525,3337,classic,1998-07-27
514,526,3339,classic,1998-09-10
515,527,3348,junior,1998-12-14
516,528,3356,classic,1996-10-31
517,529,3357,classic,1998-02-27
518,530,3360,classic,1998-07-25
519,531,3378,gold,1998-08-24
520,532,3382,classic,1997-11-30
521,533,3384,classic,1998-10-09
522,534,3387,classic,1997-01-29
523,535,3395,classic,1998-03-22
524,536,3404,classic,1997-12-13
525,537,3405,classic,1997-09-15
526,538,3414,gold,1998-08-20
527,539,3415,classic,1997-04-23
528,540,3425,classic,1997-11-29
529,541,3427,junior,1996-11-26
530,542,3439,classic,1998-10-22
531,544,3448,gold,1998-09-10
532,545,3458,classic,1995-05-30
533,546,3465,gold,1997-08-19
534,547,3477,classic,1996-10-11
535,548,3501,classic,1998-07-16
536,549,3504,classic,1998-12-12
537,550,3515,classic,1998-08-08
538,551,3517,classic,1998-09-03
539,552,3519,classic,1997-10-25
540,553,3522,classic,1997-07-14
541,554,3535,classic,1998-09-29
542,555,3544,classic,1997-11-19
543,557,3567,classic,1998-01-17
544,558,3568,classic,1998-06-07
545,559,3573,classic,1995-06-17
546,560,3577,classic,1998-12-17
547,561,3581,gold,1998-09-28
548,562,3583,classic,1996-11-07
549,563,3589,classic,1994-10-21
550,564,3590,classic,1997-05-06
551,565,3601,gold,1997-01-06
552,566,3606,classic,1997-12-25
553,567,3611,classic,1998-07-08
554,568,3615,classic,1997-03-05
555,569,3616,classic,1997-12-12
556,570,3620,classic,1998-11-14
557,571,3627,junior,1998-07-13
558,572,3636,junior,1997-05-16
559,573,3638,classic,1998-12-23
560,574,3640,junior,1998-02-23
561,575,3667,gold,1997-12-25
562,576,3671,classic,1997-04-30
563,577,3687,classic,1994-02-15
564,578,3689,junior,1997-02-21
565,579,3699,classic,1997-11-18
566,580,3713,classic,1998-11-16
567,581,3721,classic,1998-08-13
568,582,3733,classic,1997-01-22
569,583,3735,classic,1997-04-24
570,584,3751,classic,1998-10-28
571,585,3753,gold,1998-10-01
572,586,3756,classic,1998-05-31
573,587,3763,junior,1996-08-05
574,588,3765,classic,1997-07-08
575,589,3766,junior,1997-12-20
576,590,3769,classic,1997-12-02
577,591,3779,classic,1997-07-23
578,592,3782,junior,1995-08-07
579,593,3787,junior,1998-01-06
580,594,3794,junior,1996-12-27
581,596,3811,classic,1997-10-19
582,597,3813,junior,1997-06-06
583,598,3821,classic,1997-08-23
584,599,3824,gold,1998-03-08
585,600,3829,classic,1996-05-20
586,601,3830,classic,1996-10-08
587,602,3846,junior,1998-04-18
588,603,3850,classic,1998-07-20
589,604,3858,classic,1998-11-04
590,605,3874,classic,1998-12-11
591,606,3883,classic,1996-01-22
592,607,3885,classic,1997-05-17
593,608,3890,classic,1997-12-17
594,609,3893,classic,1996-12-29
595,610,3894,classic,1997-08-29
596,611,3896,classic,1997-11-13
597,612,3906,classic,1997-09-22
598,613,3913,classic,1998-07-23
599,614,3938,junior,1998-10-16
600,616,3943,classic,1997-05-05
601,617,3944,gold,1997-04-09
602,618,3947,classic,1998-07-31
603,619,3958,classic,1998-04-01
604,620,3959,classic,1998-09-17
605,621,3970,junior,1996-03-19
606,622,3981,junior,1997-09-22
607,623,3984,classic,1998-07-25
608,624,3985,junior,1998-02-13
609,625,3987,classic,1997-07-17
610,626,3992,classic,1998-11-30
611,627,3994,classic,1998-07-05
612,628,4007,classic,1997-08-11
613,629,4018,junior,1998-09-25
614,630,4019,classic,1998-09-18
615,631,4061,junior,1998-06-09
616,632,4069,classic,1998-11-19
617,633,4078,classic,1997-10-12
618,634,4081,junior,1998-09-22
619,635,4083,classic,1998-12-29
620,636,4091,junior,1998-11-09
621,637,4094,junior,1997-08-06
622,638,4100,gold,1997-10-14
623,639,4112,classic,1998-05-23
624,640,4115,classic,1998-07-14
625,641,4116,classic,1996-06-18
626,642,4137,classic,1996-12-13
627,643,4157,classic,1998-03-04
628,644,4165,classic,1998-06-05
629,645,4166,classic,1998-05-17
630,646,4167,classic,1998-06-17
631,647,4171,junior,1997-03-21
632,648,4188,classic,1997-11-18
633,649,4190,classic,1998-05-29
634,650,4194,classic,1997-10-26
635,651,4201,junior,1996-08-02
636,652,4211,classic,1995-06-16
637,653,4212,classic,1998-09-16
638,654,4230,classic,1998-12-21
639,655,4231,classic,1998-02-13
640,656,4235,classic,1997-10-08
641,657,4246,junior,1998-12-02
642,658,4251,classic,1994-12-25
643,659,4258,classic,1998-01-08
644,660,4265,junior,1997-08-19
645,661,4270,classic,1995-07-03
646,662,4293,classic,1995-05-09
647,663,4295,classic,1997-08-06
648,664,4316,classic,1997-10-22
649,665,4318,classic,1997-03-24
650,666,4328,junior,1995-12-25
651,667,4333,classic,1997-01-31
652,668,4340,classic,1997-01-14
653,669,4341,classic,1998-06-19
654,670,4343,classic,1996-08-08
655,671,4345,classic,1997-09-17
656,672,4349,classic,1998-03-07
657,673,4353,junior,1996-08-31
658,674,4360,classic,1998-12-28
659,675,4376,classic,1997-06-23
660,676,4380,classic,1998-09-30
661,677,4382,junior,1998-12-01
662,678,4405,gold,1997-01-20
663,679,4416,classic,1997-03-06
664,680,4417,classic,1998-04-29
665,681,4426,classic,1997-01-22
666,682,4429,classic,1998-10-11
667,683,4437,classic,1998-08-05
668,684,4457,classic,1998-08-11
669,685,4467,classic,1998-12-29
670,687,4471,classic,1998-07-14
671,688,4472,classic,1997-08-01
672,689,4473,classic,1998-01-15
673,690,4479,classic,1996-11-07
674,691,4492,classic,1998-12-16
675,692,4493,classic,1998-12-08
676,693,4495,junior,1998-11-03
677,694,4504,classic,1997-07-24
678,695,4507,classic,1995-12-15
679,696,4516,classic,1998-07-05
680,697,4518,classic,1996-12-11
681,698,4522,gold,1997-10-07
682,699,4532,classic,1995-09-26
683,700,4533,junior,1998-05-22
684,701,4534,classic,1998-06-24
685,702,4543,classic,1998-08-30
686,703,4546,classic,1997-09-17
687,704,4553,gold,1998-11-21
688,705,4555,classic,1995-07-12
689,706,4559,gold,1997-01-16
690,707,4560,classic,1997-11-21
691,708,4568,junior,1996-09-24
692,709,4587,junior,1997-04-11
693,710,4588,junior,1996-12-10
694,711,4592,classic,1998-08-19
695,713,4627,classic,1995-09-30
696,714,4638,classic,1997-01-09
697,715,4639,junior,1998-12-08
698,716,4651,junior,1998-06-11
699,717,4654,classic,1998-05-19
700,718,4660,classic,1997-08-12
701,719,4663,classic,1995-06-24
702,720,4674,junior,1998-02-09
703,721,4680,junior,1994-04-05
704,722,4684,classic,1996-11-14
705,723,4699,classic,1997-12-15
706,724,4701,gold,1998-01-27
707,725,4715,junior,1996-03-30
708,726,4721,classic,1998-02-26
709,727,4723,classic,1998-07-19
710,728,4725,classic,1998-12-24
711,729,4740,junior,1997-01-22
712,730,4749,classic,1997-05-02
713,731,4751,classic,1996-06-23
714,732,4763,classic,1994-07-21
715,733,4764,junior,1997-06-30
716,734,4765,classic,1998-05-01
717,735,4772,classic,1998-12-19
718,736,4789,classic,1996-08-03
719,737,4791,classic,1995-04-13
720,738,4808,junior,1998-07-02
721,739,4821,classic,1997-12-03
722,740,4823,junior,1998-07-28
723,741,4832,classic,1996-09-11
724,742,4833,classic,1998-11-10
725,743,4862,gold,1998-10-18
726,744,4863,classic,1998-10-02
727,746,4901,classic,1998-11-04
728,747,4915,classic,1994-02-05
729,748,4923,classic,1997-06-16
730,749,4929,classic,1998-10-19
731,750,4937,classic,1998-10-24
732,751,4941,junior,1998-10-15
733,752,4944,junior,1998-09-06
734,753,4974,classic,1998-12-25
735,754,4976,junior,1998-10-10
736,755,5002,classic,1998-04-16
737,756,5012,classic,1998-05-18
738,757,5013,junior,1998-05-22
739,758,5016,classic,1998-09-21
740,759,5117,junior,1995-04-18
741,760,5126,classic,1998-01-19
742,761,5128,gold,1998-04-23
743,762,5132,classic,1997-11-10
744,763,5138,junior,1994-12-30
745,764,5159,classic,1996-05-29
746,765,5175,classic,1998-09-29
747,766,5200,classic,1995-02-11
748,767,5204,classic,1997-09-14
749,768,5223,classic,1998-07-06
750,769,5224,classic,1998-10-20
751,770,5232,classic,1998-06-15
752,771,5233,classic,1996-01-08
753,772,5243,classic,1996-10-30
754,773,5245,classic,1998-11-18
755,774,5249,classic,1997-12-25
756,775,5253,gold,1998-04-11
757,776,5263,classic,1996-10-19
758,778,5275,classic,1995-01-02
759,779,5323,junior,1995-05-21
760,780,5333,classic,1998-07-29
761,781,5366,classic,1997-07-07
762,782,5376,classic,1998-09-29
763,783,5433,junior,1995-10-24
764,784,5461,classic,1998-03-24
765,785,5468,classic,1998-06-16
766,786,5478,classic,1996-12-31
767,791,5521,classic,1997-05-12
768,792,5526,classic,1998-10-11
769,795,5563,classic,1998-08-02
770,796,5579,classic,1998-02-20
771,801,5684,classic,1997-06-15
772,803,5727,classic,1998-01-19
773,813,5873,junior,1996-10-28
774,814,5911,classic,1996-02-15
775,819,5978,gold,1998-12-06
776,820,6039,classic,1998-11-10
777,823,6178,classic,1998-06-05
778,824,6196,classic,1998-04-29
779,829,6255,classic,1998-12-22
780,831,6275,classic,1998-06-29
781,833,6299,classic,1998-08-01
782,834,6301,classic,1998-08-21
783,841,6468,classic,1997-03-06
784,844,6567,junior,1998-03-04
785,847,6610,classic,1997-05-20
786,850,6644,classic,1997-01-16
787,854,6753,classic,1996-10-07
788,855,6764,classic,1998-10-24
789,857,6789,junior,1998-10-25
790,863,6906,classic,1998-06-12
791,874,7127,gold,1997-10-07
792,880,7186,classic,1998-09-17
793,882,7195,classic,1996-09-11
794,884,7286,gold,1997-07-31
795,886,7325,classic,1998-12-15
796,890,7422,classic,1996-09-08
797,891,7434,classic,1997-12-23
798,896,7567,classic,1997-09-18
799,897,7576,classic,1998-01-18
800,904,7672,classic,1998-01-22
801,906,7683,gold,1998-05-18
802,918,7796,classic,1998-04-27
803,923,7855,classic,1998-09-24
804,924,7862,classic,1998-12-24
805,933,7959,junior,1998-04-21
806,936,8030,classic,1997-08-02
807,939,8217,junior,1997-05-29
808,942,8295,classic,1997-12-02
809,945,8342,junior,1996-05-09
810,946,8359,junior,1998-02-28
811,947,8366,classic,1997-11-08
812,951,8392,classic,1998-08-16
813,956,8502,classic,1998-09-30
814,957,8506,junior,1998-10-16
815,965,8636,classic,1998-04-02
816,977,8968,classic,1996-05-08
817,989,9119,classic,1996-02-21
818,991,9149,junior,1998-07-01
819,1001,9247,classic,1998-11-20
820,1002,9261,classic,1998-07-09
821,1003,9274,classic,1998-08-09
822,1005,9285,classic,1993-11-07
823,1007,9333,gold,1998-09-25
824,1009,9409,gold,1997-06-14
825,1010,9413,classic,1996-10-27
826,1014,9452,classic,1996-11-02
827,1016,9525,classic,1997-10-28
828,1022,9606,classic,1997-12-13
829,1023,9621,classic,1998-08-30
