,card_type_classic,latest_balance,loan_age,A14,loan_amount,loan_payments,card_type_none,card_age,district_id,n_clients,loan_duration,loan_status,account_age,total_debit,n_orders
639,0.0,26893.0,3.0,102.0,154656.0,3222.0,1.0,0.0,71.0,1.0,48.0,1.0,5.0,7088.5,2.0
163,0.0,49769.0,5.0,154.0,111384.0,4641.0,1.0,0.0,11.0,1.0,24.0,1.0,6.0,12266.0,3.0
278,0.0,21601.0,4.0,124.0,21396.0,1783.0,1.0,0.0,15.0,2.0,12.0,1.0,5.0,1783.2,1.0
596,0.0,14449.0,2.0,119.0,91632.0,7636.0,1.0,0.0,17.0,2.0,12.0,1.0,3.0,10526.0,3.0
464,0.0,59933.0,1.0,149.0,144960.0,3020.0,1.0,0.0,9.0,1.0,48.0,1.0,3.0,10178.0,2.0
334,0.0,40558.0,4.0,107.0,225420.0,3757.0,1.0,0.0,61.0,1.0,60.0,1.0,5.0,3757.0,1.0
453,0.0,68598.0,5.0,116.0,91584.0,3816.0,1.0,0.0,33.0,1.0,24.0,1.0,6.0,3816.0,1.0
395,0.0,46885.0,4.0,109.0,37908.0,3159.0,1.0,0.0,62.0,1.0,12.0,1.0,5.0,3159.0,1.0
104,0.0,27814.0,3.0,131.0,249312.0,5194.0,1.0,0.0,26.0,1.0,48.0,1.0,4.0,19358.0,2.0
114,0.0,36892.0,1.0,106.0,44640.0,1860.0,1.0,0.0,59.0,1.0,24.0,1.0,2.0,1860.0,1.0
611,0.0,17096.0,6.0,140.0,75624.0,3151.0,1.0,0.0,54.0,1.0,24.0,0.0,6.0,3151.3,1.0
353,0.0,22611.0,5.0,167.0,11736.0,489.0,1.0,0.0,1.0,1.0,24.0,1.0,6.0,9460.0,4.0
448,0.0,43924.0,5.0,102.0,196080.0,4085.0,1.0,0.0,23.0,1.0,48.0,1.0,6.0,4085.0,1.0
92,0.0,93629.0,6.0,117.0,165960.0,4610.0,1.0,0.0,46.0,1.0,36.0,1.0,6.0,13152.0,4.0
7,0.0,37862.0,2.0,97.0,265320.0,7370.0,1.0,0.0,44.0,1.0,36.0,0.0,3.0,7370.2,1.0
89,0.0,76546.0,3.0,108.0,202788.0,5633.0,1.0,0.0,31.0,1.0,36.0,1.0,4.0,17627.0,2.0
518,0.0,16761.0,1.0,109.0,76104.0,3171.0,1.0,0.0,62.0,2.0,24.0,1.0,2.0,6007.0,3.0
445,1.0,50614.0,2.0,132.0,77544.0,2154.0,0.0,1.0,2.0,1.0,36.0,1.0,3.0,12313.8,2.0
648,0.0,-5303.0,2.0,94.0,385560.0,6426.0,1.0,0.0,50.0,1.0,60.0,0.0,3.0,6426.3,1.0
361,0.0,38276.0,2.0,140.0,67608.0,2817.0,1.0,0.0,54.0,2.0,24.0,1.0,2.0,13686.3,2.0
352,0.0,63892.0,6.0,113.0,464520.0,7742.0,1.0,0.0,77.0,1.0,60.0,0.0,6.0,7741.8,1.0
244,0.0,102769.0,2.0,124.0,90156.0,7513.0,0.0,1.0,69.0,2.0,12.0,1.0,3.0,7512.7,1.0
140,0.0,31797.0,5.0,108.0,199680.0,3328.0,1.0,0.0,52.0,1.0,60.0,1.0,6.0,6940.2,2.0
249,0.0,14226.0,5.0,167.0,87816.0,7318.0,1.0,0.0,1.0,2.0,12.0,1.0,6.0,12323.0,2.0
43,1.0,41748.0,2.0,120.0,53076.0,4423.0,0.0,1.0,19.0,1.0,12.0,1.0,3.0,13658.0,2.0
42,0.0,43156.0,4.0,118.0,538500.0,8975.0,1.0,0.0,5.0,1.0,60.0,1.0,5.0,13580.0,2.0
73,0.0,63133.0,1.0,100.0,125472.0,5228.0,1.0,0.0,34.0,1.0,24.0,1.0,2.0,11603.7,2.0
167,1.0,58694.0,3.0,100.0,380160.0,6336.0,0.0,2.0,74.0,1.0,60.0,1.0,5.0,6336.0,1.0
610,0.0,83200.0,1.0,110.0,37812.0,3151.0,1.0,0.0,27.0,1.0,12.0,1.0,2.0,17952.3,2.0
594,0.0,21666.0,3.0,127.0,194940.0,5415.0,1.0,0.0,8.0,1.0,36.0,1.0,4.0,5415.0,1.0
66,0.0,38911.0,4.0,104.0,71064.0,1974.0,1.0,0.0,38.0,1.0,36.0,1.0,5.0,8602.0,3.0
11,0.0,64005.0,5.0,102.0,104808.0,8734.0,1.0,0.0,66.0,2.0,12.0,1.0,6.0,17342.0,5.0
443,1.0,64930.0,1.0,123.0,45456.0,3788.0,0.0,1.0,13.0,1.0,12.0,1.0,2.0,3788.3,1.0
612,1.0,94208.0,2.0,124.0,348120.0,5802.0,0.0,1.0,69.0,1.0,60.0,1.0,3.0,5802.3,1.0
585,0.0,81130.0,3.0,145.0,96168.0,8014.0,0.0,1.0,64.0,1.0,12.0,1.0,4.0,8013.7,1.0
260,0.0,53576.0,5.0,116.0,300204.0,8339.0,1.0,0.0,57.0,1.0,36.0,1.0,6.0,8339.0,1.0
346,0.0,34943.0,1.0,132.0,184620.0,3077.0,1.0,0.0,45.0,1.0,60.0,1.0,3.0,12922.8,2.0
231,1.0,51534.0,2.0,140.0,41856.0,872.0,0.0,1.0,54.0,1.0,48.0,1.0,3.0,4499.0,4.0
617,1.0,13414.0,2.0,123.0,86880.0,7240.0,0.0,2.0,21.0,1.0,12.0,1.0,3.0,7240.0,1.0
557,1.0,39606.0,3.0,81.0,86184.0,7182.0,0.0,3.0,70.0,1.0,12.0,1.0,3.0,10425.5,3.0
177,0.0,6027.0,3.0,97.0,277884.0,7719.0,1.0,0.0,44.0,1.0,36.0,0.0,5.0,7718.7,1.0
457,0.0,57445.0,2.0,102.0,79344.0,1653.0,1.0,0.0,23.0,1.0,48.0,1.0,3.0,5957.0,2.0
429,0.0,64727.0,2.0,140.0,590820.0,9847.0,1.0,0.0,54.0,1.0,60.0,1.0,3.0,16919.0,3.0
83,0.0,27015.0,1.0,126.0,64224.0,2676.0,1.0,0.0,6.0,2.0,24.0,1.0,3.0,12425.0,2.0
501,0.0,58518.0,1.0,140.0,93036.0,7753.0,1.0,0.0,54.0,1.0,12.0,1.0,3.0,7753.3,1.0
592,0.0,78920.0,3.0,128.0,19044.0,529.0,1.0,0.0,24.0,1.0,36.0,1.0,4.0,529.0,1.0
444,1.0,75116.0,1.0,120.0,140064.0,5836.0,0.0,1.0,19.0,1.0,24.0,1.0,3.0,5836.0,1.0
79,0.0,63329.0,2.0,94.0,191088.0,3981.0,1.0,0.0,50.0,1.0,48.0,1.0,3.0,3981.0,1.0
23,0.0,55761.0,4.0,167.0,187224.0,7801.0,1.0,0.0,1.0,1.0,24.0,0.0,6.0,7801.2,1.0
15,0.0,37213.0,5.0,126.0,123696.0,2577.0,1.0,0.0,56.0,1.0,48.0,1.0,6.0,8504.0,3.0
369,1.0,66201.0,4.0,131.0,79920.0,1332.0,0.0,1.0,26.0,1.0,60.0,1.0,6.0,7902.0,3.0
417,0.0,22731.0,4.0,155.0,63360.0,1056.0,1.0,0.0,49.0,2.0,60.0,1.0,6.0,6450.0,2.0
284,0.0,68823.0,3.0,87.0,98832.0,2059.0,1.0,0.0,42.0,1.0,48.0,1.0,5.0,7575.0,4.0
670,1.0,92960.0,2.0,167.0,44940.0,3745.0,0.0,2.0,1.0,1.0,12.0,1.0,2.0,3744.7,1.0
320,0.0,37970.0,2.0,111.0,158184.0,4394.0,1.0,0.0,47.0,1.0,36.0,1.0,3.0,4393.8,1.0
341,0.0,26154.0,4.0,100.0,232560.0,4845.0,1.0,0.0,74.0,1.0,48.0,1.0,4.0,4845.0,1.0
137,0.0,45833.0,2.0,94.0,48312.0,2013.0,1.0,0.0,50.0,1.0,24.0,1.0,3.0,12720.0,2.0
340,0.0,89025.0,3.0,108.0,290700.0,4845.0,1.0,0.0,52.0,1.0,60.0,0.0,4.0,4845.0,1.0
299,0.0,21360.0,3.0,96.0,20352.0,424.0,1.0,0.0,58.0,2.0,48.0,1.0,4.0,4632.0,2.0
33,1.0,81136.0,2.0,110.0,12540.0,1045.0,0.0,2.0,27.0,2.0,12.0,1.0,3.0,8218.0,4.0
535,0.0,53869.0,1.0,149.0,52236.0,1451.0,1.0,0.0,9.0,2.0,36.0,1.0,3.0,6493.0,2.0
257,0.0,74434.0,3.0,94.0,135360.0,2820.0,0.0,4.0,50.0,1.0,48.0,1.0,4.0,2819.8,1.0
9,1.0,73881.0,2.0,131.0,162576.0,4516.0,0.0,1.0,36.0,1.0,36.0,1.0,3.0,7664.0,3.0
22,0.0,56604.0,5.0,140.0,100980.0,1683.0,1.0,0.0,54.0,1.0,60.0,1.0,6.0,6422.0,2.0
604,0.0,54590.0,1.0,100.0,136368.0,5682.0,1.0,0.0,22.0,1.0,24.0,1.0,2.0,15216.8,2.0
221,0.0,93126.0,1.0,108.0,334620.0,5577.0,1.0,0.0,52.0,2.0,60.0,1.0,2.0,5577.3,1.0
616,0.0,14960.0,2.0,102.0,88704.0,1848.0,1.0,0.0,23.0,2.0,48.0,1.0,4.0,6258.0,2.0
667,0.0,109173.0,5.0,106.0,108144.0,3004.0,1.0,0.0,59.0,2.0,36.0,1.0,6.0,7740.5,2.0
493,0.0,11055.0,2.0,135.0,333648.0,6951.0,1.0,0.0,14.0,1.0,48.0,0.0,3.0,15729.8,3.0
84,0.0,45712.0,1.0,111.0,189792.0,3954.0,1.0,0.0,47.0,1.0,48.0,1.0,2.0,16067.3,2.0
481,0.0,30329.0,2.0,113.0,97980.0,1633.0,1.0,0.0,29.0,1.0,60.0,1.0,4.0,7356.0,3.0
550,0.0,32234.0,2.0,96.0,39576.0,3298.0,1.0,0.0,68.0,2.0,12.0,1.0,3.0,13234.3,3.0
507,1.0,28073.0,4.0,145.0,47304.0,1971.0,0.0,3.0,64.0,1.0,24.0,1.0,6.0,10121.8,2.0
525,0.0,37163.0,3.0,167.0,70656.0,1472.0,1.0,0.0,1.0,1.0,48.0,1.0,3.0,7742.0,2.0
203,0.0,22496.0,1.0,96.0,174840.0,2914.0,1.0,0.0,58.0,1.0,60.0,1.0,2.0,8137.8,3.0
196,0.0,51347.0,1.0,137.0,40632.0,3386.0,1.0,0.0,12.0,1.0,12.0,1.0,3.0,6904.5,5.0
598,1.0,93433.0,2.0,107.0,311232.0,6484.0,0.0,1.0,76.0,1.0,48.0,1.0,3.0,6483.7,1.0
619,0.0,55275.0,2.0,100.0,260640.0,7240.0,1.0,0.0,22.0,1.0,36.0,0.0,4.0,20064.0,5.0
93,0.0,47886.0,1.0,112.0,385584.0,8033.0,1.0,0.0,28.0,2.0,48.0,1.0,2.0,8033.2,1.0
651,0.0,48019.0,5.0,167.0,131292.0,3647.0,1.0,0.0,1.0,1.0,36.0,1.0,6.0,10959.0,2.0
286,0.0,62313.0,3.0,125.0,359760.0,5996.0,1.0,0.0,43.0,1.0,60.0,1.0,4.0,10706.2,2.0
478,1.0,58452.0,5.0,132.0,74736.0,2076.0,0.0,2.0,45.0,1.0,36.0,1.0,6.0,8260.0,2.0
363,1.0,61231.0,2.0,100.0,247920.0,5165.0,0.0,2.0,34.0,1.0,48.0,1.0,3.0,14688.2,2.0
622,0.0,85104.0,3.0,115.0,54396.0,1511.0,1.0,0.0,60.0,1.0,36.0,1.0,3.0,1511.0,1.0
28,0.0,54377.0,2.0,140.0,357840.0,7455.0,1.0,0.0,54.0,1.0,48.0,0.0,2.0,15129.0,3.0
184,0.0,52129.0,1.0,104.0,130896.0,5454.0,1.0,0.0,38.0,2.0,24.0,1.0,3.0,9928.0,2.0
549,0.0,44456.0,2.0,116.0,23184.0,1932.0,1.0,0.0,57.0,1.0,12.0,1.0,3.0,1932.0,1.0
277,0.0,35752.0,2.0,131.0,59136.0,1232.0,1.0,0.0,26.0,1.0,48.0,1.0,3.0,1232.0,1.0
178,1.0,55904.0,5.0,155.0,82896.0,6908.0,0.0,5.0,49.0,2.0,12.0,1.0,6.0,16783.5,4.0
538,0.0,71270.0,1.0,126.0,272220.0,4537.0,1.0,0.0,56.0,1.0,60.0,1.0,2.0,10919.3,4.0
153,0.0,65428.0,3.0,115.0,89340.0,1489.0,1.0,0.0,60.0,2.0,60.0,1.0,4.0,6505.0,2.0
75,0.0,19512.0,2.0,105.0,100080.0,2085.0,1.0,0.0,65.0,1.0,48.0,1.0,2.0,10294.7,2.0
409,0.0,75197.0,6.0,117.0,47016.0,3918.0,1.0,0.0,46.0,1.0,12.0,1.0,6.0,18499.2,2.0
68,0.0,30355.0,1.0,111.0,52512.0,4376.0,1.0,0.0,55.0,1.0,12.0,1.0,2.0,4375.5,1.0
367,1.0,65643.0,5.0,104.0,87360.0,3640.0,0.0,1.0,38.0,1.0,24.0,1.0,6.0,3639.5,1.0
188,1.0,14288.0,2.0,145.0,39024.0,3252.0,0.0,2.0,64.0,1.0,12.0,1.0,4.0,16491.2,3.0
236,0.0,59419.0,5.0,102.0,79632.0,3318.0,1.0,0.0,66.0,1.0,24.0,1.0,5.0,15089.0,3.0
88,1.0,45731.0,3.0,112.0,30060.0,501.0,0.0,3.0,28.0,1.0,60.0,1.0,5.0,7336.0,5.0
575,0.0,111743.0,4.0,167.0,76416.0,3184.0,1.0,0.0,1.0,2.0,24.0,1.0,6.0,17868.3,3.0
117,1.0,29808.0,2.0,81.0,92400.0,7700.0,0.0,3.0,70.0,1.0,12.0,1.0,3.0,12413.8,3.0
511,0.0,56223.0,2.0,102.0,67980.0,5665.0,1.0,0.0,66.0,1.0,12.0,1.0,3.0,5665.0,1.0
559,0.0,35673.0,1.0,106.0,44640.0,1860.0,1.0,0.0,59.0,1.0,24.0,1.0,2.0,1860.0,1.0
238,0.0,61956.0,1.0,113.0,41988.0,3499.0,1.0,0.0,77.0,2.0,12.0,1.0,2.0,10145.0,2.0
0,0.0,42628.0,5.0,167.0,80952.0,3373.0,1.0,0.0,1.0,2.0,24.0,1.0,6.0,10638.7,2.0
674,0.0,27391.0,6.0,124.0,52788.0,4399.0,1.0,0.0,15.0,1.0,12.0,1.0,6.0,7512.0,3.0
275,0.0,76124.0,2.0,117.0,219456.0,4572.0,1.0,0.0,46.0,2.0,48.0,1.0,2.0,4572.0,1.0
655,1.0,43156.0,2.0,113.0,18720.0,312.0,0.0,2.0,25.0,2.0,60.0,1.0,3.0,312.0,1.0
331,1.0,62671.0,3.0,124.0,44376.0,3698.0,0.0,3.0,15.0,1.0,12.0,1.0,3.0,9746.8,2.0
116,0.0,26880.0,3.0,167.0,101520.0,8460.0,1.0,0.0,1.0,1.0,12.0,1.0,3.0,11928.0,2.0
228,0.0,36807.0,2.0,131.0,106128.0,2948.0,1.0,0.0,36.0,1.0,36.0,1.0,2.0,2948.0,1.0
300,1.0,81475.0,1.0,96.0,57060.0,4755.0,0.0,1.0,68.0,1.0,12.0,1.0,3.0,9366.0,4.0
310,0.0,45837.0,2.0,109.0,129312.0,5388.0,1.0,0.0,4.0,1.0,24.0,0.0,3.0,5388.5,1.0
274,0.0,81686.0,4.0,102.0,465072.0,9689.0,1.0,0.0,66.0,2.0,48.0,1.0,5.0,9689.0,1.0
625,1.0,77584.0,1.0,110.0,23412.0,1951.0,0.0,2.0,72.0,2.0,12.0,1.0,3.0,5185.0,2.0
144,0.0,43983.0,1.0,116.0,17952.0,1496.0,1.0,0.0,33.0,1.0,12.0,1.0,2.0,7944.0,2.0
390,0.0,49966.0,3.0,107.0,22968.0,638.0,1.0,0.0,16.0,1.0,36.0,1.0,3.0,4243.0,4.0
362,1.0,117838.0,5.0,100.0,59760.0,2490.0,0.0,3.0,74.0,2.0,24.0,1.0,6.0,10337.0,2.0
615,0.0,20976.0,1.0,131.0,31260.0,2605.0,1.0,0.0,36.0,2.0,12.0,1.0,3.0,9347.0,2.0
483,0.0,37436.0,1.0,94.0,36204.0,3017.0,1.0,0.0,50.0,1.0,12.0,0.0,3.0,3017.2,1.0
268,0.0,35160.0,2.0,110.0,106944.0,4456.0,1.0,0.0,63.0,1.0,24.0,1.0,2.0,7489.0,4.0
449,0.0,73183.0,3.0,145.0,372120.0,6202.0,0.0,1.0,64.0,2.0,60.0,1.0,4.0,6202.0,1.0
46,0.0,13353.0,1.0,90.0,178500.0,2975.0,1.0,0.0,73.0,1.0,60.0,1.0,2.0,7604.0,4.0
261,1.0,42498.0,4.0,149.0,20220.0,1685.0,0.0,2.0,9.0,1.0,12.0,1.0,5.0,10407.8,2.0
195,0.0,30676.0,5.0,110.0,4980.0,415.0,1.0,0.0,63.0,1.0,12.0,1.0,6.0,5148.0,4.0
681,0.0,38531.0,3.0,109.0,129408.0,5392.0,1.0,0.0,67.0,1.0,24.0,1.0,4.0,10687.0,5.0
569,0.0,56024.0,1.0,167.0,157068.0,4363.0,1.0,0.0,1.0,1.0,36.0,1.0,2.0,11596.7,2.0
107,1.0,68320.0,1.0,118.0,290820.0,4847.0,0.0,1.0,5.0,1.0,60.0,1.0,2.0,8227.0,4.0
446,1.0,60101.0,5.0,100.0,51696.0,2154.0,0.0,6.0,74.0,1.0,24.0,1.0,6.0,2153.8,1.0
522,0.0,92040.0,5.0,145.0,227880.0,6330.0,1.0,0.0,64.0,2.0,36.0,1.0,6.0,6330.2,1.0
654,0.0,48417.0,4.0,97.0,314520.0,5242.0,1.0,0.0,44.0,1.0,60.0,1.0,5.0,15714.0,2.0
100,0.0,49270.0,3.0,118.0,162468.0,4513.0,1.0,0.0,32.0,2.0,36.0,1.0,3.0,8710.7,2.0
421,0.0,35762.0,5.0,167.0,80952.0,3373.0,1.0,0.0,1.0,2.0,24.0,1.0,6.0,10638.7,2.0
608,0.0,27021.0,2.0,110.0,239160.0,3986.0,1.0,0.0,27.0,1.0,60.0,1.0,3.0,9740.7,5.0
567,0.0,40111.0,2.0,106.0,18324.0,1527.0,1.0,0.0,59.0,2.0,12.0,1.0,3.0,9846.0,2.0
179,0.0,56126.0,4.0,167.0,15420.0,1285.0,1.0,0.0,1.0,1.0,12.0,1.0,6.0,7454.0,3.0
338,0.0,-4888.0,4.0,87.0,103680.0,1728.0,1.0,0.0,42.0,1.0,60.0,0.0,6.0,1728.0,1.0
149,0.0,20779.0,3.0,131.0,165120.0,2752.0,1.0,0.0,51.0,2.0,60.0,1.0,5.0,7734.0,2.0
124,0.0,-1579.0,5.0,109.0,299088.0,8308.0,1.0,0.0,67.0,1.0,36.0,0.0,6.0,14527.8,3.0
541,0.0,8332.0,3.0,110.0,29448.0,2454.0,1.0,0.0,72.0,1.0,12.0,0.0,3.0,2454.5,1.0
589,0.0,85701.0,4.0,132.0,331560.0,5526.0,0.0,3.0,2.0,2.0,60.0,1.0,6.0,13911.0,3.0
185,0.0,36337.0,1.0,124.0,30012.0,2501.0,1.0,0.0,48.0,1.0,12.0,1.0,3.0,2501.0,1.0
626,0.0,13695.0,5.0,167.0,482940.0,8049.0,1.0,0.0,1.0,1.0,60.0,0.0,6.0,15830.0,4.0
382,1.0,39933.0,1.0,130.0,38496.0,3208.0,0.0,1.0,7.0,1.0,12.0,1.0,2.0,3207.8,1.0
672,0.0,70406.0,2.0,167.0,89280.0,7440.0,1.0,0.0,1.0,1.0,12.0,1.0,2.0,17452.5,3.0
333,0.0,68045.0,5.0,116.0,83016.0,6918.0,0.0,1.0,57.0,1.0,12.0,1.0,6.0,13818.3,3.0
628,0.0,91701.0,1.0,137.0,133800.0,5575.0,1.0,0.0,12.0,1.0,24.0,1.0,2.0,15011.3,3.0
142,0.0,63982.0,3.0,81.0,49440.0,824.0,1.0,0.0,70.0,1.0,60.0,1.0,4.0,6443.0,4.0
141,1.0,75895.0,2.0,131.0,159744.0,3328.0,0.0,1.0,18.0,1.0,48.0,1.0,3.0,9166.2,3.0
381,0.0,24245.0,1.0,126.0,104964.0,8747.0,1.0,0.0,6.0,1.0,12.0,1.0,3.0,17353.0,2.0
19,0.0,78773.0,2.0,111.0,369000.0,6150.0,1.0,0.0,47.0,1.0,60.0,1.0,4.0,9818.5,4.0
172,1.0,85307.0,2.0,110.0,24792.0,1033.0,0.0,2.0,63.0,1.0,24.0,1.0,3.0,5724.0,3.0
645,0.0,56696.0,1.0,107.0,31140.0,519.0,1.0,0.0,76.0,1.0,60.0,1.0,2.0,519.0,1.0
312,0.0,95341.0,6.0,97.0,79608.0,3317.0,1.0,0.0,44.0,1.0,24.0,1.0,6.0,3317.0,1.0
634,0.0,41832.0,1.0,107.0,196224.0,4088.0,0.0,1.0,76.0,1.0,48.0,1.0,2.0,14444.0,2.0
12,0.0,71822.0,2.0,102.0,27456.0,2288.0,1.0,0.0,71.0,1.0,12.0,1.0,3.0,6985.3,4.0
305,1.0,88781.0,3.0,167.0,320976.0,6687.0,0.0,1.0,1.0,1.0,48.0,0.0,4.0,6687.0,1.0
25,0.0,38965.0,2.0,96.0,230400.0,3840.0,1.0,0.0,68.0,1.0,60.0,1.0,3.0,13567.2,5.0
503,1.0,31403.0,3.0,135.0,173016.0,4806.0,0.0,2.0,14.0,1.0,36.0,1.0,4.0,4806.5,1.0
169,0.0,45255.0,1.0,111.0,504000.0,8400.0,1.0,0.0,3.0,1.0,60.0,1.0,3.0,12647.0,2.0
462,0.0,61532.0,5.0,111.0,71460.0,5955.0,1.0,0.0,55.0,2.0,12.0,1.0,6.0,13223.0,2.0
396,0.0,40887.0,2.0,167.0,17184.0,1432.0,1.0,0.0,1.0,1.0,12.0,1.0,3.0,5424.0,4.0
245,0.0,24179.0,4.0,100.0,221280.0,4610.0,1.0,0.0,74.0,2.0,48.0,1.0,5.0,12412.0,2.0
298,1.0,65188.0,5.0,167.0,323472.0,6739.0,0.0,1.0,1.0,1.0,48.0,1.0,6.0,9746.7,2.0
420,0.0,30039.0,1.0,154.0,49044.0,4087.0,1.0,0.0,11.0,1.0,12.0,1.0,2.0,8689.8,2.0
272,0.0,74066.0,4.0,132.0,107640.0,4485.0,1.0,0.0,2.0,1.0,24.0,1.0,4.0,9926.0,3.0
154,0.0,30097.0,1.0,167.0,136344.0,5681.0,1.0,0.0,1.0,2.0,24.0,1.0,3.0,12748.0,2.0
126,1.0,81659.0,4.0,120.0,182040.0,3034.0,0.0,2.0,19.0,2.0,60.0,1.0,5.0,3034.0,1.0
534,0.0,13536.0,1.0,118.0,16032.0,334.0,1.0,0.0,32.0,1.0,48.0,1.0,2.0,9673.0,4.0
287,0.0,64557.0,2.0,116.0,289920.0,6040.0,0.0,1.0,33.0,1.0,48.0,1.0,3.0,6039.8,1.0
113,0.0,40944.0,2.0,140.0,83628.0,2323.0,1.0,0.0,54.0,1.0,36.0,1.0,3.0,2322.7,1.0
356,1.0,41691.0,1.0,128.0,321360.0,5356.0,0.0,1.0,24.0,1.0,60.0,1.0,3.0,15964.0,2.0
173,0.0,49708.0,1.0,102.0,88608.0,7384.0,1.0,0.0,66.0,2.0,12.0,1.0,3.0,7384.0,1.0
344,0.0,32882.0,2.0,118.0,177804.0,4939.0,1.0,0.0,5.0,1.0,36.0,1.0,3.0,4939.0,1.0
57,0.0,21785.0,1.0,132.0,50976.0,1416.0,1.0,0.0,45.0,1.0,36.0,1.0,3.0,8532.0,4.0
428,0.0,33509.0,4.0,110.0,288468.0,8013.0,1.0,0.0,63.0,1.0,36.0,1.0,5.0,8013.0,1.0
222,0.0,45527.0,1.0,123.0,133848.0,5577.0,1.0,0.0,37.0,1.0,24.0,1.0,3.0,5577.3,1.0
280,0.0,22870.0,3.0,111.0,213300.0,5925.0,1.0,0.0,47.0,1.0,36.0,1.0,4.0,10719.0,2.0
17,0.0,24213.0,1.0,135.0,91248.0,1901.0,1.0,0.0,14.0,1.0,48.0,1.0,2.0,1901.0,1.0
393,0.0,46145.0,1.0,104.0,64860.0,1081.0,1.0,0.0,38.0,1.0,60.0,1.0,3.0,4549.0,4.0
322,0.0,94420.0,6.0,128.0,174744.0,7281.0,1.0,0.0,24.0,1.0,24.0,0.0,6.0,7281.3,1.0
255,0.0,60686.0,2.0,132.0,93960.0,1566.0,1.0,0.0,45.0,1.0,60.0,1.0,4.0,10619.0,3.0
