,account_id,account_frequency,account_date,n_orders,total_debit,n_trans,trans_amount,latest_balance,card_type,card_issued,gender,birth_date,district_id,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,n_clients,loan_date,loan_amount,loan_duration,loan_payments,loan_status
14,15,monthly,1993-10-02,1.0,3072.0,365,2329599,47423,,,M,1979-01-04,46,Nachod,east Bohemia,112709,48,20,7,3,10,73.5,8369,1.7,2.31,117,2854.0,2618,1,,,,,
15,16,monthly,1997-09-23,,,60,661407,33032,,,F,1952-10-29,12,Pribram,central Bohemia,107870,84,29,6,1,6,58.0,8754,3.8,4.31,137,3804.0,3868,1,,,,,
16,17,monthly,1997-01-08,1.0,4032.0,54,413048,97878,,,F,1969-10-11,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107,2,,,,,
17,18,weekly,1993-05-26,,,328,3728704,81558,,,F,1939-07-29,43,Hradec Kralove,east Bohemia,161854,73,21,6,1,6,76.3,9425,1.7,2.5,125,4085.0,3891,1,,,,,
18,19,monthly,1995-04-07,1.0,2523.2,303,1575532,10840,,,F,1939-04-23,21,Tabor,south Bohemia,103347,87,16,7,1,7,67.0,9104,1.5,2.07,123,2299.0,2354,1,1996-04-29,30276.0,12.0,2523.0,B
19,20,monthly,1996-08-24,1.0,2003.0,116,154761,17692,,,F,1969-04-20,74,Ostrava - mesto,north Moravia,323870,0,0,0,1,1,100.0,10673,4.7,5.44,100,18782.0,18347,1,,,,,
20,21,monthly,1997-12-06,1.0,6276.0,62,298438,53231,,,F,1966-03-26,54,Brno - mesto,south Moravia,387570,0,0,0,1,1,100.0,9897,1.6,1.96,140,18721.0,18696,1,,,,,
21,22,monthly,1994-03-23,1.0,6352.0,310,2099490,35740,,,M,1945-09-29,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107,1,,,,,
22,23,monthly,1993-05-22,1.0,5807.0,370,3195889,83101,,,F,1951-09-11,30,Sokolov,west Bohemia,94812,15,13,8,2,10,81.8,9650,3.3,3.67,100,2985.0,2804,1,,,,,
23,24,monthly,1996-12-05,2.0,7862.0,140,688143,21583,,,F,1957-10-09,74,Ostrava - mesto,north Moravia,323870,0,0,0,1,1,100.0,10673,4.7,5.44,100,18782.0,18347,1,,,,,
24,25,monthly,1996-07-28,4.0,10614.2,274,2958556,30199,,,M,1962-02-09,68,Frydek - Mistek,north Moravia,228848,15,40,18,2,6,57.2,9893,4.0,4.72,96,5623.0,5887,1,1997-12-08,30276.0,12.0,2523.0,A
25,26,monthly,1993-08-08,1.0,10387.0,351,3471064,51771,,,M,1980-07-28,52,Usti nad Orlici,east Bohemia,139012,59,41,8,3,10,61.9,8363,2.5,3.49,108,2564.0,2799,1,,,,,
26,27,monthly,1993-09-26,1.0,4054.0,352,1204982,32197,,,F,1948-12-04,73,Opava,north Moravia,182027,17,49,12,2,7,56.4,8746,3.3,3.74,90,4355.0,4433,1,,,,,
27,29,monthly,1994-11-24,3.0,7708.0,367,1885951,37551,,,F,1978-07-17,7,Melnik,central Bohemia,94725,38,28,1,3,6,63.4,9920,2.2,2.87,130,4289.0,4846,2,,,,,
28,30,monthly,1995-03-04,1.0,2480.2,281,4561821,44155,,,F,1973-07-23,36,Liberec,north Bohemia,159617,29,19,8,1,9,85.2,9198,3.3,4.28,131,5796.0,6132,1,,,,,
29,31,monthly,1994-04-27,1.0,10202.0,383,5807700,13298,,,M,1968-01-25,68,Frydek - Mistek,north Moravia,228848,15,40,18,2,6,57.2,9893,4.0,4.72,96,5623.0,5887,1,,,,,
30,32,monthly,1995-08-28,,,180,1378959,89720,,,F,1957-01-22,5,Kolin,central Bohemia,95616,65,30,4,1,6,51.4,9307,3.8,4.43,118,2616.0,3040,1,,,,,
31,33,monthly,1993-08-26,1.0,3892.0,344,3232014,112406,gold,1995-09-03,M,1968-08-27,22,Domazlice,west Bohemia,58400,65,16,4,1,6,52.4,8620,1.1,1.25,100,1089.0,1117,1,,,,,
32,34,weekly,1993-09-17,3.0,8051.0,409,4342634,50114,classic,1998-11-26,M,1935-08-17,68,Frydek - Mistek,north Moravia,228848,15,40,18,2,6,57.2,9893,4.0,4.72,96,5623.0,5887,1,,,,,
33,35,monthly,1993-07-07,2.0,2384.0,379,697993,20742,,,M,1920-10-28,75,Prerov,north Moravia,138032,67,30,4,2,5,64.6,8819,5.3,5.66,99,4063.0,4505,1,,,,,
34,36,monthly,1993-07-01,1.0,4069.0,388,2793033,79147,,,F,1977-01-11,38,Louny,north Bohemia,85852,41,23,4,2,4,59.8,8965,7.0,8.23,104,2653.0,2822,1,,,,,
35,37,monthly,1997-08-18,4.0,10305.5,130,948159,45905,,,M,1952-08-26,20,Strakonice,south Bohemia,70646,94,14,3,1,4,58.4,8547,2.6,3.64,120,1563.0,1542,1,1998-10-14,318480.0,60.0,5308.0,D
36,38,weekly,1997-08-08,4.0,9666.8,130,571952,44581,,,F,1940-01-30,19,Prachatice,south Bohemia,51428,50,11,3,1,4,52.7,8402,3.1,3.98,120,999.0,1099,1,1998-04-19,110736.0,48.0,2307.0,C
37,39,monthly,1993-09-22,2.0,3115.0,399,813566,16315,,,M,1934-07-14,76,Sumperk,north Moravia,127369,31,32,13,2,7,51.2,8369,4.7,5.88,107,3736.0,2807,1,,,,,
38,40,monthly,1993-10-25,2.0,4334.0,366,906138,23704,,,M,1940-02-09,16,Jindrichuv Hradec,south Bohemia,93931,74,21,10,1,8,56.9,8427,1.1,1.54,107,1874.0,1913,1,,,,,
39,41,monthly,1997-08-02,,,71,555123,100768,,,F,1959-05-11,72,Olomouc,north Moravia,226122,32,50,7,4,4,62.6,8994,3.8,4.79,110,9672.0,9208,1,,,,,
40,42,monthly,1996-08-16,3.0,6070.0,198,595006,25984,,,F,1978-07-30,39,Most,north Bohemia,119895,17,4,3,2,4,89.9,10446,7.3,9.4,90,4947.0,4743,1,,,,,
41,43,monthly,1994-06-12,1.0,6589.0,321,2841707,60767,junior,1995-04-24,F,1979-12-02,36,Liberec,north Bohemia,159617,29,19,8,1,9,85.2,9198,3.3,4.28,131,5796.0,6132,1,,,,,
42,44,monthly,1993-05-10,1.0,2344.0,316,549441,23843,,,M,1924-12-12,32,Ceska Lipa,north Bohemia,105058,32,19,7,2,10,81.0,9272,2.8,3.22,118,4340.0,4505,1,,,,,
43,45,monthly,1997-09-02,,,69,133404,25878,,,M,1977-05-05,64,Zlin,south Moravia,197099,29,41,10,2,10,74.7,9624,1.6,2.31,145,4484.0,4265,1,,,,,
44,47,monthly,1993-08-08,4.0,7264.0,565,4933924,78755,,,F,1948-09-18,45,Jicin,east Bohemia,77917,85,19,6,1,5,53.5,8390,2.2,2.89,132,2080.0,2122,1,,,,,
45,48,monthly,1996-11-17,2.0,7297.0,151,1197231,70916,classic,1998-06-11,M,1960-03-31,21,Tabor,south Bohemia,103347,87,16,7,1,7,67.0,9104,1.5,2.07,123,2299.0,2354,2,,,,,
46,49,monthly,1997-04-06,1.0,3102.0,93,183169,15311,,,F,1927-04-29,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107,1,,,,,
47,50,monthly,1994-05-06,2.0,7293.0,377,1916928,86129,,,M,1957-02-18,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107,1,,,,,
48,51,monthly,1996-05-11,2.0,4131.0,192,1322354,98223,junior,1998-05-20,M,1980-02-19,67,Bruntal,north Moravia,106054,38,25,6,2,6,63.1,8110,5.7,6.55,109,3244.0,3079,1,,,,,
49,52,monthly,1997-01-29,2.0,4283.0,144,1264713,21160,,,F,1948-08-06,16,Jindrichuv Hradec,south Bohemia,93931,74,21,10,1,8,56.9,8427,1.1,1.54,107,1874.0,1913,1,,,,,
50,53,monthly,1995-06-07,1.0,2851.0,197,360136,15130,,,M,1932-12-08,77,Vsetin,north Moravia,148545,8,35,12,3,4,53.5,8909,4.0,5.56,113,3460.0,3590,1,,,,,
51,54,monthly,1995-05-02,1.0,2280.0,210,282795,26816,,,M,1959-06-04,4,Kladno,central Bohemia,149893,63,29,6,2,6,67.4,9753,4.6,5.05,109,5244.0,5892,1,,,,,
52,55,monthly,1996-02-19,1.0,3086.0,150,298757,20988,,,M,1926-04-22,20,Strakonice,south Bohemia,70646,94,14,3,1,4,58.4,8547,2.6,3.64,120,1563.0,1542,1,,,,,
53,56,monthly,1994-05-16,1.0,8080.0,293,1761931,57568,,,F,1943-05-27,50,Svitavy,east Bohemia,102609,75,33,2,3,6,52.0,8187,4.8,5.45,94,2123.0,2134,1,,,,,
54,57,monthly,1995-05-21,1.0,4107.0,255,1955880,63005,,,F,1951-11-10,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107,1,,,,,
55,58,monthly,1996-08-23,,,137,317495,11256,,,F,1932-11-11,29,Rokycany,west Bohemia,45714,52,10,5,1,6,55.6,8843,2.8,3.6,113,818.0,888,1,,,,,
56,59,monthly,1994-03-27,2.0,6885.0,385,1802407,79811,,,M,1946-12-14,43,Hradec Kralove,east Bohemia,161854,73,21,6,1,6,76.3,9425,1.7,2.5,125,4085.0,3891,1,,,,,
57,61,monthly,1993-12-11,2.0,2313.0,339,474598,18423,,,M,1925-12-22,70,Karvina,north Moravia,285387,0,2,8,5,7,89.9,10177,6.6,7.75,81,9878.0,10108,2,,,,,
58,62,monthly,1993-03-28,1.0,2273.0,356,698850,16686,,,M,1923-01-13,47,Pardubice,east Bohemia,162580,83,26,5,1,6,72.8,9538,1.5,1.81,111,6079.0,5410,1,,,,,
59,63,monthly,1996-11-16,2.0,2394.0,129,224742,32335,,,M,1924-02-20,22,Domazlice,west Bohemia,58400,65,16,4,1,6,52.4,8620,1.1,1.25,100,1089.0,1117,2,,,,,
60,64,monthly,1997-03-11,,,44,217928,21730,,,F,1977-09-19,64,Zlin,south Moravia,197099,29,41,10,2,10,74.7,9624,1.6,2.31,145,4484.0,4265,1,,,,,
61,65,monthly,1996-10-29,3.0,7402.0,181,1357458,56146,classic,1997-10-25,F,1967-10-01,36,Liberec,north Bohemia,159617,29,19,8,1,9,85.2,9198,3.3,4.28,131,5796.0,6132,1,,,,,
62,66,transaction,1993-12-03,1.0,4471.3,316,5879320,100253,classic,1996-12-07,F,1956-02-18,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107,1,,,,,
63,67,monthly,1994-10-19,3.0,13753.0,382,4518183,39710,,,F,1944-06-13,16,Jindrichuv Hradec,south Bohemia,93931,74,21,10,1,8,56.9,8427,1.1,1.54,107,1874.0,1913,1,1996-05-02,165960.0,24.0,6915.0,A
64,68,transaction,1994-12-20,4.0,3089.0,424,3645529,97118,gold,1997-10-25,F,1969-03-10,37,Litomerice,north Bohemia,114006,71,26,6,2,9,62.3,9065,4.4,5.39,123,4147.0,4166,1,,,,,
65,69,monthly,1996-01-12,,,196,501152,63471,,,F,1979-02-25,64,Zlin,south Moravia,197099,29,41,10,2,10,74.7,9624,1.6,2.31,145,4484.0,4265,1,,,,,
66,70,monthly,1995-02-18,1.0,4150.0,245,915239,42423,,,M,1976-04-29,8,Mlada Boleslav,central Bohemia,112065,95,19,7,1,8,69.4,11277,1.2,1.44,127,5179.0,4987,2,,,,,
67,71,monthly,1994-03-05,4.0,4359.0,496,2695819,69570,junior,1996-09-11,F,1978-12-25,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107,2,,,,,
68,72,weekly,1996-06-20,3.0,12318.0,242,3287346,22336,,,M,1961-08-27,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107,2,,,,,
69,73,monthly,1993-11-08,1.0,6061.0,366,2564611,61920,classic,1994-06-29,F,1946-11-17,72,Olomouc,north Moravia,226122,32,50,7,4,4,62.6,8994,3.8,4.79,110,9672.0,9208,1,,,,,
70,75,monthly,1995-08-13,1.0,3369.0,215,1085901,25295,,,F,1951-05-05,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107,1,,,,,
71,76,monthly,1996-05-16,1.0,5208.0,163,580237,19634,,,M,1975-08-17,52,Usti nad Orlici,east Bohemia,139012,59,41,8,3,10,61.9,8363,2.5,3.49,108,2564.0,2799,1,,,,,
72,77,monthly,1996-11-19,1.0,1709.0,104,927958,19339,,,M,1940-08-07,63,Vyskov,south Moravia,86513,38,36,5,1,5,50.5,8288,3.7,4.52,110,1562.0,1460,1,,,,,
73,78,monthly,1993-07-07,1.0,9039.0,388,2469502,77935,,,F,1966-06-12,74,Ostrava - mesto,north Moravia,323870,0,0,0,1,1,100.0,10673,4.7,5.44,100,18782.0,18347,1,,,,,
74,79,monthly,1996-11-29,1.0,2788.0,104,191752,21902,,,M,1925-02-16,3,Beroun,central Bohemia,75232,55,26,4,1,5,41.7,8980,1.9,2.21,111,2824.0,2813,1,,,,,
75,80,monthly,1995-09-27,1.0,2252.0,176,243714,27350,,,M,1947-09-09,43,Hradec Kralove,east Bohemia,161854,73,21,6,1,6,76.3,9425,1.7,2.5,125,4085.0,3891,2,,,,,
76,81,monthly,1996-07-18,3.0,2056.0,217,235073,36444,,,M,1972-02-29,74,Ostrava - mesto,north Moravia,323870,0,0,0,1,1,100.0,10673,4.7,5.44,100,18782.0,18347,1,,,,,
77,82,monthly,1994-05-03,,,332,4840846,83929,,,M,1965-11-28,26,Plzen - mesto,west Bohemia,170449,0,0,0,1,1,100.0,10787,2.6,3.09,131,6041.0,6261,1,,,,,
78,83,monthly,1993-04-16,2.0,6150.0,431,1417985,33239,,,F,1973-05-04,33,Decin,north Bohemia,133777,24,17,7,3,11,84.7,8705,5.7,7.61,116,4650.0,4859,2,,,,,
79,84,transaction,1995-12-25,2.0,14161.0,211,2374918,104121,,,F,1942-08-11,44,Chrudim,east Bohemia,105606,77,26,7,2,7,53.0,8254,2.7,3.76,97,2166.0,2325,1,,,,,
80,85,monthly,1997-03-23,2.0,5623.0,108,311183,52012,,,M,1943-01-23,68,Frydek - Mistek,north Moravia,228848,15,40,18,2,6,57.2,9893,4.0,4.72,96,5623.0,5887,1,,,,,
81,86,monthly,1993-03-07,2.0,2162.0,410,444927,21976,,,F,1958-09-10,74,Ostrava - mesto,north Moravia,323870,0,0,0,1,1,100.0,10673,4.7,5.44,100,18782.0,18347,2,,,,,
82,88,monthly,1996-07-03,1.0,2268.0,140,184682,24428,,,M,1980-05-26,31,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.5,4.2,108,1328.0,1452,1,,,,,
83,89,monthly,1997-09-25,,,61,159216,37920,,,F,1968-12-30,68,Frydek - Mistek,north Moravia,228848,15,40,18,2,6,57.2,9893,4.0,4.72,96,5623.0,5887,1,,,,,
84,90,monthly,1994-07-13,4.0,9882.0,457,2839857,24127,,,M,1972-06-23,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107,1,,,,,
85,91,monthly,1996-11-06,,,79,537088,-4188,,,M,1963-09-13,17,Pelhrimov,south Bohemia,74062,99,15,4,2,7,61.4,8114,2.3,2.62,119,1003.0,1181,1,,,,,
86,93,monthly,1996-06-12,,,143,488783,34009,,,F,1967-04-13,2,Benesov,central Bohemia,88884,80,26,6,2,5,46.7,8507,1.6,1.85,132,2159.0,2674,1,,,,,
87,95,monthly,1995-03-30,,,217,2284032,80442,classic,1996-02-17,M,1935-01-25,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107,2,,,,,
88,96,monthly,1993-02-18,5.0,8160.1,661,6749870,84861,classic,1995-03-05,F,1969-06-24,74,Ostrava - mesto,north Moravia,323870,0,0,0,1,1,100.0,10673,4.7,5.44,100,18782.0,18347,2,,,,,
89,97,monthly,1996-05-05,5.0,12438.0,274,1229270,52584,classic,1998-06-23,M,1942-01-28,74,Ostrava - mesto,north Moravia,323870,0,0,0,1,1,100.0,10673,4.7,5.44,100,18782.0,18347,2,1997-08-10,102876.0,12.0,8573.0,A
90,98,monthly,1997-05-02,2.0,2318.0,106,172406,14444,,,M,1922-07-19,55,Brno - venkov,south Moravia,157042,49,70,18,0,9,33.9,8743,1.8,2.43,111,3659.0,3894,2,,,,,
91,99,monthly,1995-06-27,2.0,9185.0,248,2513988,2322,,,M,1976-05-10,1,Hl.m. Praha,Prague,1204953,0,0,0,1,1,100.0,12541,0.2,0.43,167,85677.0,99107,1,,,,,
92,100,monthly,1993-12-28,2.0,7927.0,405,1691619,74839,,,F,1978-10-29,41,Usti nad Labem,north Bohemia,118650,8,8,5,1,3,85.6,9832,3.3,4.48,114,6445.0,5471,1,,,,,
93,101,monthly,1996-04-16,2.0,8892.0,208,1278571,73685,,,F,1963-11-13,35,Jablonec n. Nisou,north Bohemia,88768,10,18,5,1,7,80.5,8867,1.0,1.21,130,3384.0,3620,1,,,,,
94,102,monthly,1993-10-16,3.0,11120.2,319,1768092,49993,,,M,1969-02-12,11,Praha - zapad,central Bohemia,75637,35,36,9,0,7,36.5,9622,0.4,0.59,154,3475.0,3529,1,,,,,
95,103,monthly,1996-03-10,1.0,7370.2,185,1714758,37862,,,M,1967-09-21,44,Chrudim,east Bohemia,105606,77,26,7,2,7,53.0,8254,2.7,3.76,97,2166.0,2325,1,1997-12-06,265320.0,36.0,7370.0,D
96,104,monthly,1993-04-15,2.0,2042.0,385,402639,25638,,,M,1936-10-31,37,Litomerice,north Bohemia,114006,71,26,6,2,9,62.3,9065,4.4,5.39,123,4147.0,4166,2,,,,,
97,105,monthly,1997-07-10,1.0,7348.0,59,493762,17221,classic,1998-06-07,F,1950-12-27,21,Tabor,south Bohemia,103347,87,16,7,1,7,67.0,9104,1.5,2.07,123,2299.0,2354,1,1998-12-05,352704.0,48.0,7348.0,C
98,106,monthly,1994-11-27,1.0,3735.0,282,1854795,64941,classic,1995-08-25,F,1973-04-04,63,Vyskov,south Moravia,86513,38,36,5,1,5,50.5,8288,3.7,4.52,110,1562.0,1460,1,,,,,
99,107,monthly,1993-11-05,3.0,4554.0,476,1058023,44266,,,F,1947-05-31,64,Zlin,south Moravia,197099,29,41,10,2,10,74.7,9624,1.6,2.31,145,4484.0,4265,1,,,,,
100,108,monthly,1995-03-10,1.0,4803.0,241,1532849,56976,classic,1997-09-09,M,1942-02-14,53,Blansko,south Moravia,107911,88,33,6,2,7,50.9,8240,2.5,3.56,99,1850.0,1903,1,,,,,
101,109,monthly,1997-04-20,,,113,203528,41822,classic,1998-12-02,F,1977-01-31,53,Blansko,south Moravia,107911,88,33,6,2,7,50.9,8240,2.5,3.56,99,1850.0,1903,1,,,,,
102,110,monthly,1996-07-17,3.0,7664.0,209,1429406,73881,classic,1998-02-26,M,1953-01-26,36,Liberec,north Bohemia,159617,29,19,8,1,9,85.2,9198,3.3,4.28,131,5796.0,6132,1,1997-09-08,162576.0,36.0,4516.0,C
103,112,monthly,1993-03-12,1.0,2051.0,356,884722,51810,,,M,1932-01-18,6,Kutna Hora,central Bohemia,77963,60,23,4,2,4,51.5,8546,2.9,4.02,126,2640.0,3120,2,,,,,
104,113,monthly,1996-07-22,1.0,3146.0,136,351164,26351,,,F,1921-01-26,55,Brno - venkov,south Moravia,157042,49,70,18,0,9,33.9,8743,1.8,2.43,111,3659.0,3894,1,,,,,
105,114,monthly,1997-03-14,2.0,2123.0,103,155718,26100,,,M,1923-09-14,60,Prostejov,south Moravia,110643,49,41,4,1,4,51.9,8441,3.4,4.48,115,1879.0,2252,1,,,,,
106,115,monthly,1993-03-19,1.0,5110.0,376,1235603,33605,classic,1997-01-11,F,1972-10-21,54,Brno - mesto,south Moravia,387570,0,0,0,1,1,100.0,9897,1.6,1.96,140,18721.0,18696,1,,,,,
107,116,monthly,1996-03-21,2.0,6456.0,178,1607845,72209,,,F,1959-07-25,8,Mlada Boleslav,central Bohemia,112065,95,19,7,1,8,69.4,11277,1.2,1.44,127,5179.0,4987,2,,,,,
108,117,monthly,1993-09-05,1.0,2329.0,330,623427,16680,,,M,1925-11-02,31,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.5,4.2,108,1328.0,1452,1,,,,,
109,118,monthly,1997-09-18,1.0,2449.0,73,134560,29484,,,M,1937-06-21,68,Frydek - Mistek,north Moravia,228848,15,40,18,2,6,57.2,9893,4.0,4.72,96,5623.0,5887,1,,,,,
110,119,monthly,1993-05-25,1.0,8252.0,395,3110282,57395,,,M,1978-07-09,27,Plzen - jih,west Bohemia,67298,71,19,10,0,7,43.8,8561,0.6,1.29,110,1029.0,1127,1,,,,,
111,120,weekly,1995-06-16,2.0,5864.0,245,2127817,25836,,,M,1958-12-06,65,Znojmo,south Moravia,114200,101,41,4,1,4,43.7,8403,5.7,5.72,105,2157.0,2718,1,,,,,
112,121,monthly,1997-10-11,3.0,2116.0,92,117133,34955,,,M,1978-02-14,55,Brno - venkov,south Moravia,157042,49,70,18,0,9,33.9,8743,1.8,2.43,111,3659.0,3894,1,,,,,
113,122,monthly,1996-10-30,,,110,1244009,56788,classic,1998-10-03,F,1961-12-19,31,Tachov,west Bohemia,51313,34,12,3,1,4,59.2,8930,3.5,4.2,108,1328.0,1452,1,,,,,
114,123,monthly,1993-03-13,1.0,3016.0,334,654464,23383,,,F,1933-11-02,21,Tabor,south Bohemia,103347,87,16,7,1,7,67.0,9104,1.5,2.07,123,2299.0,2354,2,,,,,
115,124,monthly,1997-12-28,3.0,1993.0,70,89506,13566,,,M,1948-06-27,55,Brno - venkov,south Moravia,157042,49,70,18,0,9,33.9,8743,1.8,2.43,111,3659.0,3894,1,,,,,
116,125,transaction,1996-09-07,1.0,4422.1,150,1902747,64858,,,F,1980-09-27,2,Benesov,central Bohemia,88884,80,26,6,2,5,46.7,8507,1.6,1.85,132,2159.0,2674,1,,,,,
117,126,monthly,1993-10-23,1.0,7384.0,335,3166496,50359,,,F,1971-09-23,51,Trutnov,east Bohemia,121947,37,28,7,3,11,70.5,8541,2.5,2.97,131,3496.0,3839,1,,,,,
118,127,monthly,1994-02-02,1.0,2242.0,274,387668,17546,,,F,1945-12-02,29,Rokycany,west Bohemia,45714,52,10,5,1,6,55.6,8843,2.8,3.6,113,818.0,888,1,,,,,
119,128,monthly,1993-02-19,,,399,814902,74713,junior,1996-08-05,F,1981-02-12,13,Rakovnik,central Bohemia,53921,61,22,1,1,2,41.3,8598,2.7,3.26,123,1597.0,1875,1,,,,,
120,129,monthly,1997-10-01,1.0,3417.0,67,193880,19863,,,M,1933-08-27,74,Ostrava - mesto,north Moravia,323870,0,0,0,1,1,100.0,10673,4.7,5.44,100,18782.0,18347,2,,,,,
121,130,monthly,1997-02-12,1.0,3969.0,103,275462,29171,,,F,1930-07-22,54,Brno - mesto,south Moravia,387570,0,0,0,1,1,100.0,9897,1.6,1.96,140,18721.0,18696,1,,,,,
122,131,monthly,1995-06-13,1.0,6904.0,212,955788,36355,,,F,1943-07-09,52,Usti nad Orlici,east Bohemia,139012,59,41,8,3,10,61.9,8363,2.5,3.49,108,2564.0,2799,1,,,,,
123,132,transaction,1996-05-11,1.0,7370.2,198,2535955,34557,classic,1997-12-06,F,1945-07-03,40,Teplice,north Bohemia,128118,9,16,6,3,8,85.3,9317,6.4,7.07,97,6949.0,6872,2,1996-11-06,88440.0,12.0,7370.0,A
124,133,weekly,1997-10-11,3.0,13160.0,113,1341991,46582,,,F,1942-04-26,64,Zlin,south Moravia,197099,29,41,10,2,10,74.7,9624,1.6,2.31,145,4484.0,4265,1,,,,,
125,134,monthly,1997-12-10,,,48,235738,45531,classic,1998-09-14,F,1943-10-07,34,Chomutov,north Bohemia,125236,28,11,1,4,5,87.7,9675,6.4,7.68,100,5323.0,5190,1,,,,,
126,135,monthly,1993-06-15,,,326,742512,73703,,,M,1941-10-17,65,Znojmo,south Moravia,114200,101,41,4,1,4,43.7,8403,5.7,5.72,105,2157.0,2718,1,,,,,
127,136,monthly,1996-05-14,1.0,2932.0,152,374630,27095,,,M,1933-06-12,74,Ostrava - mesto,north Moravia,323870,0,0,0,1,1,100.0,10673,4.7,5.44,100,18782.0,18347,1,,,,,
128,137,monthly,1996-07-19,2.0,4251.0,181,1422946,49569,,,F,1962-04-04,70,Karvina,north Moravia,285387,0,2,8,5,7,89.9,10177,6.6,7.75,81,9878.0,10108,1,,,,,
