,account_id,district_id,frequency,date
41,43,36,POPLATEK MESICNE,1994-06-12
42,44,32,POPLATEK MESICNE,1993-05-10
43,45,64,POPLATEK MESICNE,1997-09-02
44,47,45,POPLATEK MESICNE,1993-08-08
45,48,21,POPLATEK MESICNE,1996-11-17
46,49,1,POPLATEK MESICNE,1997-04-06
47,50,1,POPLATEK MESICNE,1994-05-06
48,51,67,POPLATEK MESICNE,1996-05-11
49,52,16,POPLATEK MESICNE,1997-01-29
50,53,77,POPLATEK MESICNE,1995-06-07
51,54,4,POPLATEK MESICNE,1995-05-02
52,55,20,POPLATEK MESICNE,1996-02-19
53,56,50,POPLATEK MESICNE,1994-05-16
54,57,1,POPLATEK MESICNE,1995-05-21
55,58,29,POPLATEK MESICNE,1996-08-23
56,59,43,POPLATEK MESICNE,1994-03-27
57,61,70,POPLATEK MESICNE,1993-12-11
58,62,47,POPLATEK MESICNE,1993-03-28
59,63,22,POPLATEK MESICNE,1996-11-16
60,64,64,POPLATEK MESICNE,1997-03-11
61,65,36,POPLATEK MESICNE,1996-10-29
62,66,48,POPLATEK PO OBRATU,1993-12-03
63,67,16,POPLATEK MESICNE,1994-10-19
64,68,37,POPLATEK PO OBRATU,1994-12-20
65,69,64,POPLATEK MESICNE,1996-01-12
66,70,8,POPLATEK MESICNE,1995-02-18
67,71,1,POPLATEK MESICNE,1994-03-05
68,72,1,POPLATEK TYDNE,1996-06-20
69,73,72,POPLATEK MESICNE,1993-11-08
70,75,1,POPLATEK MESICNE,1995-08-13
71,76,52,POPLATEK MESICNE,1996-05-16
72,77,63,POPLATEK MESICNE,1996-11-19
73,78,74,POPLATEK MESICNE,1993-07-07
74,79,3,POPLATEK MESICNE,1996-11-29
75,80,43,POPLATEK MESICNE,1995-09-27
76,81,74,POPLATEK MESICNE,1996-07-18
77,82,26,POPLATEK MESICNE,1994-05-03
78,83,26,POPLATEK MESICNE,1993-04-16
79,84,44,POPLATEK PO OBRATU,1995-12-25
80,85,68,POPLATEK MESICNE,1997-03-23
81,86,54,POPLATEK MESICNE,1993-03-07
82,88,31,POPLATEK MESICNE,1996-07-03
83,89,68,POPLATEK MESICNE,1997-09-25
84,90,1,POPLATEK MESICNE,1994-07-13
85,91,17,POPLATEK MESICNE,1996-11-06
86,93,2,POPLATEK MESICNE,1996-06-12
87,95,1,POPLATEK MESICNE,1995-03-30
88,96,68,POPLATEK MESICNE,1993-02-18
89,97,74,POPLATEK MESICNE,1996-05-05
90,98,55,POPLATEK MESICNE,1997-05-02
91,99,1,POPLATEK MESICNE,1995-06-27
92,100,41,POPLATEK MESICNE,1993-12-28
93,101,35,POPLATEK MESICNE,1996-04-16
94,102,11,POPLATEK MESICNE,1993-10-16
95,103,44,POPLATEK MESICNE,1996-03-10
96,104,37,POPLATEK MESICNE,1993-04-15
97,105,21,POPLATEK MESICNE,1997-07-10
98,106,63,POPLATEK MESICNE,1994-11-27
99,107,64,POPLATEK MESICNE,1993-11-05
100,108,53,POPLATEK MESICNE,1995-03-10
101,109,53,POPLATEK MESICNE,1997-04-20
102,110,36,POPLATEK MESICNE,1996-07-17
103,112,6,POPLATEK MESICNE,1993-03-12
104,113,55,POPLATEK MESICNE,1996-07-22
105,114,60,POPLATEK MESICNE,1997-03-14
106,115,68,POPLATEK MESICNE,1993-03-19
107,116,8,POPLATEK MESICNE,1996-03-21
108,117,31,POPLATEK MESICNE,1993-09-05
109,118,68,POPLATEK MESICNE,1997-09-18
110,119,27,POPLATEK MESICNE,1993-05-25
111,120,65,POPLATEK TYDNE,1995-06-16
112,121,55,POPLATEK MESICNE,1997-10-11
113,122,31,POPLATEK MESICNE,1996-10-30
114,123,21,POPLATEK MESICNE,1993-03-13
115,124,55,POPLATEK MESICNE,1997-12-28
116,125,2,POPLATEK PO OBRATU,1996-09-07
117,126,5,POPLATEK MESICNE,1993-10-23
118,127,29,POPLATEK MESICNE,1994-02-02
119,128,2,POPLATEK MESICNE,1993-02-19
120,129,74,POPLATEK MESICNE,1997-10-01
121,130,54,POPLATEK MESICNE,1997-02-12
122,131,52,POPLATEK MESICNE,1995-06-13
123,132,40,POPLATEK PO OBRATU,1996-05-11
124,133,64,POPLATEK TYDNE,1997-10-11
125,134,34,POPLATEK MESICNE,1997-12-10
126,135,75,POPLATEK MESICNE,1993-06-15
127,136,74,POPLATEK MESICNE,1996-05-14
128,137,70,POPLATEK MESICNE,1996-07-19
129,138,22,POPLATEK MESICNE,1995-09-19
130,139,38,POPLATEK TYDNE,1997-05-15
131,140,24,POPLATEK MESICNE,1996-06-25
132,141,38,POPLATEK MESICNE,1996-03-06
133,142,51,POPLATEK MESICNE,1993-02-15
134,143,21,POPLATEK MESICNE,1996-11-27
135,144,10,POPLATEK TYDNE,1997-04-03
136,145,31,POPLATEK MESICNE,1996-01-03
137,146,4,POPLATEK MESICNE,1993-09-02
138,148,8,POPLATEK MESICNE,1993-06-21
139,149,43,POPLATEK MESICNE,1997-11-16
140,150,73,POPLATEK MESICNE,1995-03-16
141,151,76,POPLATEK MESICNE,1993-09-06
142,152,1,POPLATEK MESICNE,1996-04-12
143,153,77,POPLATEK MESICNE,1993-09-19
144,154,46,POPLATEK MESICNE,1994-06-21
145,155,58,POPLATEK MESICNE,1995-11-07
146,156,64,POPLATEK MESICNE,1997-10-22
147,157,11,POPLATEK MESICNE,1997-03-28
148,158,37,POPLATEK MESICNE,1995-03-15
149,159,70,POPLATEK MESICNE,1997-02-11
150,160,23,POPLATEK MESICNE,1993-09-04
151,161,28,POPLATEK MESICNE,1994-07-04
152,162,60,POPLATEK MESICNE,1993-08-25
153,163,30,POPLATEK MESICNE,1993-01-27
154,164,60,POPLATEK MESICNE,1996-09-13
155,165,25,POPLATEK MESICNE,1993-06-01
156,166,17,POPLATEK MESICNE,1996-08-20
157,167,29,POPLATEK TYDNE,1996-02-26
158,168,31,POPLATEK MESICNE,1993-04-27
159,169,4,POPLATEK MESICNE,1995-09-28
160,170,59,POPLATEK MESICNE,1996-07-02
161,171,46,POPLATEK MESICNE,1996-06-08
162,172,13,POPLATEK MESICNE,1993-08-30
163,173,66,POPLATEK MESICNE,1993-11-26
164,174,52,POPLATEK MESICNE,1996-09-04
165,176,71,POPLATEK TYDNE,1996-08-12
166,177,1,POPLATEK MESICNE,1997-09-26
167,178,59,POPLATEK MESICNE,1997-09-06
168,179,1,POPLATEK TYDNE,1997-09-22
169,180,55,POPLATEK TYDNE,1993-12-14
170,181,21,POPLATEK MESICNE,1996-06-11
171,182,47,POPLATEK MESICNE,1996-08-24
172,183,43,POPLATEK MESICNE,1993-12-12
173,184,77,POPLATEK MESICNE,1996-02-21
174,185,32,POPLATEK MESICNE,1997-07-04
175,186,1,POPLATEK TYDNE,1993-07-29
176,187,5,POPLATEK MESICNE,1993-03-28
177,188,54,POPLATEK MESICNE,1993-04-20
178,189,76,POPLATEK MESICNE,1997-04-16
179,190,74,POPLATEK MESICNE,1995-03-02
180,191,41,POPLATEK MESICNE,1997-03-17
181,192,55,POPLATEK MESICNE,1993-01-08
182,193,69,POPLATEK MESICNE,1996-12-22
183,194,44,POPLATEK MESICNE,1996-08-01
184,195,70,POPLATEK MESICNE,1997-02-27
185,196,4,POPLATEK MESICNE,1993-11-14
186,197,1,POPLATEK MESICNE,1993-02-25
187,198,70,POPLATEK MESICNE,1993-10-25
188,199,70,POPLATEK MESICNE,1996-10-26
189,200,17,POPLATEK MESICNE,1994-07-03
190,201,63,POPLATEK MESICNE,1994-11-02
191,204,67,POPLATEK MESICNE,1996-01-13
192,205,1,POPLATEK MESICNE,1997-10-08
193,206,61,POPLATEK MESICNE,1995-04-08
194,207,2,POPLATEK MESICNE,1993-07-25
195,208,54,POPLATEK MESICNE,1996-03-27
196,209,37,POPLATEK MESICNE,1996-11-24
197,210,48,POPLATEK MESICNE,1996-03-17
198,211,28,POPLATEK MESICNE,1997-07-19
199,212,27,POPLATEK TYDNE,1993-01-20
200,213,73,POPLATEK MESICNE,1995-08-29
201,214,22,POPLATEK MESICNE,1997-03-09
202,215,31,POPLATEK MESICNE,1997-11-25
203,216,38,POPLATEK MESICNE,1994-05-16
204,217,77,POPLATEK MESICNE,1995-01-20
205,218,68,POPLATEK MESICNE,1996-02-06
206,219,28,POPLATEK MESICNE,1995-09-06
207,220,72,POPLATEK MESICNE,1993-04-09
208,221,19,POPLATEK MESICNE,1996-10-30
209,222,37,POPLATEK MESICNE,1993-03-15
210,223,39,POPLATEK MESICNE,1995-06-13
211,224,15,POPLATEK MESICNE,1996-10-27
212,225,1,POPLATEK MESICNE,1993-07-28
213,226,70,POPLATEK MESICNE,1997-02-23
214,227,27,POPLATEK MESICNE,1995-03-28
215,228,5,POPLATEK MESICNE,1993-09-28
216,229,1,POPLATEK MESICNE,1997-06-07
217,230,1,POPLATEK MESICNE,1996-02-26
218,231,22,POPLATEK MESICNE,1995-04-03
219,232,45,POPLATEK MESICNE,1997-11-29
220,234,73,POPLATEK MESICNE,1993-07-15
221,235,41,POPLATEK MESICNE,1993-10-06
222,236,72,POPLATEK MESICNE,1996-03-16
223,237,50,POPLATEK MESICNE,1994-03-25
224,238,6,POPLATEK MESICNE,1993-08-15
225,239,69,POPLATEK TYDNE,1993-03-01
226,240,72,POPLATEK MESICNE,1997-04-28
227,241,15,POPLATEK MESICNE,1996-09-29
228,242,69,POPLATEK MESICNE,1996-08-29
229,243,55,POPLATEK TYDNE,1993-11-06
230,244,24,POPLATEK MESICNE,1993-02-08
231,245,65,POPLATEK MESICNE,1993-11-25
232,246,65,POPLATEK MESICNE,1997-12-20
233,248,1,POPLATEK MESICNE,1995-04-02
234,249,28,POPLATEK MESICNE,1996-12-03
235,250,56,POPLATEK MESICNE,1997-05-10
236,251,74,POPLATEK MESICNE,1996-04-06
237,252,19,POPLATEK MESICNE,1996-12-26
238,253,46,POPLATEK MESICNE,1995-12-05
239,255,68,POPLATEK MESICNE,1996-11-03
240,256,37,POPLATEK MESICNE,1995-05-14
241,257,11,POPLATEK MESICNE,1995-11-05
242,258,64,POPLATEK MESICNE,1997-07-09
243,259,2,POPLATEK MESICNE,1993-10-28
244,260,24,POPLATEK MESICNE,1995-10-14
245,261,54,POPLATEK MESICNE,1996-10-07
246,262,75,POPLATEK MESICNE,1996-01-27
247,263,64,POPLATEK TYDNE,1997-01-03
248,264,15,POPLATEK MESICNE,1996-02-09
249,265,19,POPLATEK MESICNE,1996-07-05
250,266,47,POPLATEK MESICNE,1994-05-11
251,267,38,POPLATEK MESICNE,1995-04-26
252,268,3,POPLATEK MESICNE,1996-05-29
253,269,3,POPLATEK MESICNE,1996-08-30
254,270,27,POPLATEK MESICNE,1995-01-23
255,271,1,POPLATEK MESICNE,1996-08-13
256,272,11,POPLATEK MESICNE,1996-10-23
257,273,24,POPLATEK PO OBRATU,1993-07-11
258,274,76,POPLATEK MESICNE,1993-08-20
259,275,29,POPLATEK MESICNE,1996-01-02
260,276,38,POPLATEK MESICNE,1997-12-08
261,277,32,POPLATEK PO OBRATU,1994-05-01
262,278,73,POPLATEK MESICNE,1996-04-08
263,279,39,POPLATEK MESICNE,1993-04-14
264,280,25,POPLATEK MESICNE,1993-01-23
265,281,1,POPLATEK MESICNE,1996-10-27
266,282,69,POPLATEK MESICNE,1997-05-12
267,283,44,POPLATEK MESICNE,1996-04-18
268,284,54,POPLATEK MESICNE,1997-07-18
269,285,17,POPLATEK MESICNE,1995-05-08
270,286,71,POPLATEK MESICNE,1996-03-27
271,287,16,POPLATEK MESICNE,1993-10-27
272,288,25,POPLATEK MESICNE,1995-03-18
273,289,1,POPLATEK MESICNE,1994-03-17
274,290,56,POPLATEK MESICNE,1993-12-02
275,291,7,POPLATEK MESICNE,1997-06-08
276,292,49,POPLATEK MESICNE,1997-02-26
277,293,1,POPLATEK MESICNE,1997-05-04
278,294,7,POPLATEK MESICNE,1997-01-05
279,295,66,POPLATEK MESICNE,1997-11-23
280,296,49,POPLATEK MESICNE,1996-02-14
281,297,74,POPLATEK MESICNE,1996-09-08
282,298,35,POPLATEK MESICNE,1997-12-02
283,299,77,POPLATEK MESICNE,1993-04-05
284,300,1,POPLATEK MESICNE,1993-06-23
285,301,60,POPLATEK MESICNE,1995-09-10
286,302,7,POPLATEK MESICNE,1996-05-09
287,303,71,POPLATEK MESICNE,1996-07-25
288,304,4,POPLATEK MESICNE,1997-03-20
289,305,34,POPLATEK MESICNE,1996-10-18
290,306,16,POPLATEK MESICNE,1993-06-08
291,307,26,POPLATEK MESICNE,1997-08-07
292,308,61,POPLATEK MESICNE,1995-10-16
293,309,14,POPLATEK MESICNE,1997-04-25
294,311,50,POPLATEK MESICNE,1997-08-08
295,312,41,POPLATEK MESICNE,1996-01-03
296,313,73,POPLATEK MESICNE,1996-07-06
297,314,15,POPLATEK PO OBRATU,1996-01-26
298,315,45,POPLATEK MESICNE,1997-12-08
299,316,62,POPLATEK MESICNE,1997-05-08
300,317,76,POPLATEK MESICNE,1993-03-10
301,318,36,POPLATEK MESICNE,1994-09-16
302,319,47,POPLATEK TYDNE,1995-10-17
303,320,47,POPLATEK MESICNE,1997-01-23
304,321,47,POPLATEK MESICNE,1993-11-11
305,322,1,POPLATEK MESICNE,1993-02-20
306,323,52,POPLATEK MESICNE,1997-02-23
307,324,1,POPLATEK MESICNE,1996-08-23
308,325,75,POPLATEK MESICNE,1996-10-06
309,326,61,POPLATEK MESICNE,1997-08-06
310,327,54,POPLATEK MESICNE,1993-06-02
311,328,1,POPLATEK MESICNE,1997-09-18
312,329,3,POPLATEK MESICNE,1996-10-19
313,330,42,POPLATEK MESICNE,1996-11-24
314,331,65,POPLATEK MESICNE,1995-10-02
315,332,36,POPLATEK MESICNE,1996-01-12
316,333,73,POPLATEK MESICNE,1996-12-23
317,334,1,POPLATEK MESICNE,1993-05-24
318,335,74,POPLATEK MESICNE,1996-01-20
319,336,62,POPLATEK MESICNE,1995-10-16
320,337,17,POPLATEK MESICNE,1995-11-25
321,338,49,POPLATEK MESICNE,1995-11-18
322,339,46,POPLATEK TYDNE,1996-09-11
323,340,1,POPLATEK MESICNE,1993-11-03
324,341,28,POPLATEK MESICNE,1996-11-19
325,342,64,POPLATEK MESICNE,1996-10-13
326,343,18,POPLATEK MESICNE,1994-04-26
327,344,54,POPLATEK MESICNE,1993-12-01
328,345,5,POPLATEK MESICNE,1993-11-20
329,346,37,POPLATEK MESICNE,1993-01-11
330,347,65,POPLATEK MESICNE,1993-12-13
331,348,25,POPLATEK MESICNE,1995-11-15
332,349,72,POPLATEK MESICNE,1997-06-08
333,350,47,POPLATEK MESICNE,1996-10-13
334,351,50,POPLATEK MESICNE,1997-02-17
335,352,39,POPLATEK MESICNE,1994-07-04
336,353,24,POPLATEK MESICNE,1995-08-30
337,354,59,POPLATEK MESICNE,1993-10-28
338,355,62,POPLATEK TYDNE,1996-02-01
339,356,70,POPLATEK MESICNE,1996-03-12
340,357,20,POPLATEK MESICNE,1996-03-10
341,358,12,POPLATEK MESICNE,1993-12-09
342,359,11,POPLATEK MESICNE,1994-12-11
343,360,32,POPLATEK MESICNE,1996-05-14
344,361,51,POPLATEK MESICNE,1993-02-27
345,362,15,POPLATEK MESICNE,1993-04-04
346,363,1,POPLATEK MESICNE,1994-05-06
347,364,1,POPLATEK MESICNE,1997-01-20
348,365,74,POPLATEK MESICNE,1993-12-12
349,366,1,POPLATEK MESICNE,1996-10-23
350,367,23,POPLATEK MESICNE,1997-05-09
351,368,77,POPLATEK MESICNE,1993-07-06
352,370,25,POPLATEK MESICNE,1994-02-18
353,371,12,POPLATEK MESICNE,1996-08-02
354,372,55,POPLATEK MESICNE,1995-09-10
355,373,67,POPLATEK MESICNE,1996-06-20
356,374,38,POPLATEK MESICNE,1993-01-09
357,375,68,POPLATEK MESICNE,1996-06-07
358,376,25,POPLATEK MESICNE,1995-03-05
359,377,70,POPLATEK MESICNE,1994-08-19
360,378,68,POPLATEK MESICNE,1996-07-22
361,379,32,POPLATEK MESICNE,1996-05-18
362,381,68,POPLATEK MESICNE,1993-07-04
363,382,14,POPLATEK MESICNE,1996-08-16
364,383,38,POPLATEK MESICNE,1997-05-15
365,384,24,POPLATEK TYDNE,1997-09-14
366,385,5,POPLATEK MESICNE,1993-04-07
367,386,1,POPLATEK MESICNE,1997-08-11
368,387,72,POPLATEK MESICNE,1997-09-19
369,388,59,POPLATEK MESICNE,1995-02-11
370,389,30,POPLATEK MESICNE,1993-08-28
371,390,44,POPLATEK MESICNE,1996-02-16
372,391,36,POPLATEK MESICNE,1993-12-11
373,392,1,POPLATEK MESICNE,1996-07-14
374,393,46,POPLATEK MESICNE,1995-02-04
375,395,1,POPLATEK MESICNE,1993-03-12
376,396,21,POPLATEK MESICNE,1993-03-08
377,397,11,POPLATEK MESICNE,1993-10-26
378,398,69,POPLATEK MESICNE,1997-10-24
379,399,1,POPLATEK MESICNE,1996-08-27
380,400,28,POPLATEK MESICNE,1993-07-17
381,401,32,POPLATEK MESICNE,1993-01-18
382,402,68,POPLATEK MESICNE,1997-09-14
383,403,1,POPLATEK MESICNE,1993-07-29
384,404,41,POPLATEK MESICNE,1995-04-28
385,405,55,POPLATEK MESICNE,1997-03-13
386,406,63,POPLATEK MESICNE,1996-09-03
387,407,72,POPLATEK TYDNE,1997-04-18
388,408,41,POPLATEK MESICNE,1993-07-21
389,409,1,POPLATEK MESICNE,1996-06-11
390,410,49,POPLATEK MESICNE,1996-10-15
391,411,70,POPLATEK MESICNE,1993-02-05
392,412,74,POPLATEK MESICNE,1996-01-21
393,413,18,POPLATEK MESICNE,1996-07-09
394,414,1,POPLATEK MESICNE,1996-01-29
395,415,25,POPLATEK MESICNE,1993-03-03
396,416,6,POPLATEK MESICNE,1996-08-11
397,417,73,POPLATEK MESICNE,1996-01-27
398,418,36,POPLATEK MESICNE,1995-08-27
399,419,13,POPLATEK MESICNE,1993-10-25
400,420,75,POPLATEK MESICNE,1995-08-26
401,421,75,POPLATEK MESICNE,1997-11-27
402,422,53,POPLATEK TYDNE,1994-08-29
403,423,12,POPLATEK MESICNE,1993-03-28
404,424,12,POPLATEK MESICNE,1997-02-17
405,425,9,POPLATEK MESICNE,1993-03-19
406,426,1,POPLATEK MESICNE,1993-11-29
407,427,8,POPLATEK MESICNE,1994-07-24
408,428,1,POPLATEK MESICNE,1993-02-27
409,429,63,POPLATEK MESICNE,1995-09-03
410,430,54,POPLATEK MESICNE,1995-09-02
411,431,18,POPLATEK MESICNE,1996-11-05
412,432,46,POPLATEK MESICNE,1993-06-16
413,433,20,POPLATEK MESICNE,1993-06-12
414,434,1,POPLATEK MESICNE,1996-12-24
415,435,38,POPLATEK MESICNE,1993-01-08
416,436,30,POPLATEK MESICNE,1996-08-07
417,437,43,POPLATEK MESICNE,1993-12-03
418,438,37,POPLATEK MESICNE,1997-06-23
419,439,69,POPLATEK MESICNE,1996-04-15
420,440,29,POPLATEK MESICNE,1996-12-22
421,441,27,POPLATEK TYDNE,1993-12-17
422,442,54,POPLATEK MESICNE,1997-03-30
423,443,64,POPLATEK MESICNE,1993-01-28
424,444,26,POPLATEK MESICNE,1996-05-09
425,445,63,POPLATEK TYDNE,1993-07-29
426,446,50,POPLATEK MESICNE,1993-06-15
427,447,5,POPLATEK MESICNE,1996-08-14
428,449,19,POPLATEK MESICNE,1994-11-22
429,450,59,POPLATEK MESICNE,1996-05-28
430,451,11,POPLATEK MESICNE,1994-05-05
431,452,63,POPLATEK MESICNE,1995-11-29
432,453,75,POPLATEK MESICNE,1997-04-24
433,454,7,POPLATEK MESICNE,1995-05-07
434,455,54,POPLATEK MESICNE,1995-04-23
435,456,49,POPLATEK MESICNE,1993-01-21
436,458,7,POPLATEK MESICNE,1995-06-16
437,459,47,POPLATEK MESICNE,1993-01-21
438,460,1,POPLATEK MESICNE,1994-04-18
439,461,30,POPLATEK MESICNE,1993-02-18
440,462,29,POPLATEK MESICNE,1993-11-10
441,463,51,POPLATEK MESICNE,1995-05-08
442,464,43,POPLATEK MESICNE,1997-05-28
443,465,32,POPLATEK MESICNE,1993-02-04
444,466,71,POPLATEK MESICNE,1996-02-18
445,467,74,POPLATEK MESICNE,1993-09-24
446,468,49,POPLATEK MESICNE,1996-03-19
447,469,72,POPLATEK MESICNE,1997-07-14
448,470,64,POPLATEK MESICNE,1994-03-23
449,471,47,POPLATEK MESICNE,1995-06-07
450,472,8,POPLATEK MESICNE,1996-10-11
451,473,73,POPLATEK MESICNE,1996-10-20
452,474,61,POPLATEK MESICNE,1995-12-06
453,475,3,POPLATEK MESICNE,1997-05-11
454,476,69,POPLATEK MESICNE,1997-04-11
455,477,1,POPLATEK MESICNE,1993-01-25
456,478,58,POPLATEK MESICNE,1994-07-16
457,479,1,POPLATEK MESICNE,1995-11-05
458,480,23,POPLATEK MESICNE,1997-01-21
459,481,72,POPLATEK MESICNE,1996-04-23
460,483,70,POPLATEK MESICNE,1997-07-15
461,484,1,POPLATEK MESICNE,1995-01-20
462,485,6,POPLATEK PO OBRATU,1993-01-04
463,486,33,POPLATEK MESICNE,1995-11-21
464,487,40,POPLATEK MESICNE,1995-11-14
465,488,25,POPLATEK MESICNE,1996-06-20
466,489,16,POPLATEK MESICNE,1993-05-17
467,490,45,POPLATEK MESICNE,1995-05-23
468,491,44,POPLATEK MESICNE,1996-05-12
469,492,5,POPLATEK MESICNE,1993-10-10
470,493,26,POPLATEK MESICNE,1994-04-05
471,494,60,POPLATEK MESICNE,1993-03-11
472,496,69,POPLATEK MESICNE,1993-02-26
473,497,55,POPLATEK MESICNE,1993-04-15
474,498,1,POPLATEK MESICNE,1993-11-21
475,500,56,POPLATEK MESICNE,1996-04-27
476,501,13,POPLATEK MESICNE,1995-10-21
477,502,1,POPLATEK MESICNE,1997-10-13
478,503,1,POPLATEK MESICNE,1996-08-08
479,504,73,POPLATEK MESICNE,1993-04-21
480,505,64,POPLATEK MESICNE,1996-12-16
481,506,67,POPLATEK MESICNE,1996-07-08
482,507,52,POPLATEK MESICNE,1996-06-17
483,508,74,POPLATEK MESICNE,1996-11-19
484,509,36,POPLATEK MESICNE,1997-08-14
485,510,1,POPLATEK TYDNE,1993-06-02
486,511,14,POPLATEK MESICNE,1996-11-10
487,512,68,POPLATEK MESICNE,1997-01-14
488,513,58,POPLATEK MESICNE,1996-11-21
489,514,70,POPLATEK MESICNE,1996-03-30
490,515,57,POPLATEK MESICNE,1995-02-09
491,516,6,POPLATEK MESICNE,1996-02-08
492,517,76,POPLATEK MESICNE,1993-09-22
493,518,74,POPLATEK MESICNE,1994-09-09
494,519,24,POPLATEK MESICNE,1993-11-12
495,520,60,POPLATEK MESICNE,1993-11-04
496,521,9,POPLATEK MESICNE,1995-10-08
497,522,17,POPLATEK MESICNE,1995-12-20
498,523,1,POPLATEK MESICNE,1993-08-11
499,524,61,POPLATEK MESICNE,1994-05-03
500,525,70,POPLATEK MESICNE,1996-03-20
501,526,67,POPLATEK MESICNE,1996-07-16
502,528,17,POPLATEK MESICNE,1996-12-30
503,529,39,POPLATEK MESICNE,1997-08-18
504,530,54,POPLATEK MESICNE,1996-11-19
505,531,31,POPLATEK MESICNE,1995-08-18
506,532,26,POPLATEK MESICNE,1995-09-02
507,533,40,POPLATEK MESICNE,1995-05-07
508,534,1,POPLATEK MESICNE,1997-05-26
509,535,35,POPLATEK MESICNE,1994-05-24
510,536,14,POPLATEK MESICNE,1996-10-13
511,537,34,POPLATEK MESICNE,1997-01-08
512,538,70,POPLATEK MESICNE,1994-06-07
513,539,13,POPLATEK PO OBRATU,1993-02-16
514,540,75,POPLATEK MESICNE,1993-10-16
515,541,61,POPLATEK MESICNE,1993-08-12
516,542,1,POPLATEK MESICNE,1993-11-01
517,543,64,POPLATEK MESICNE,1994-05-03
518,544,32,POPLATEK MESICNE,1995-05-15
519,545,54,POPLATEK MESICNE,1993-11-24
520,546,8,POPLATEK MESICNE,1996-11-23
521,547,24,POPLATEK MESICNE,1997-07-27
522,548,16,POPLATEK MESICNE,1994-06-07
523,549,5,POPLATEK MESICNE,1996-11-27
524,550,24,POPLATEK MESICNE,1997-10-17
525,551,77,POPLATEK MESICNE,1993-05-07
526,552,14,POPLATEK MESICNE,1993-08-20
527,553,26,POPLATEK MESICNE,1995-06-06
528,554,26,POPLATEK MESICNE,1996-01-26
529,555,24,POPLATEK MESICNE,1993-05-15
530,556,12,POPLATEK MESICNE,1997-06-26
531,557,1,POPLATEK MESICNE,1995-11-26
532,558,10,POPLATEK MESICNE,1996-06-15
533,559,46,POPLATEK MESICNE,1993-03-05
534,560,36,POPLATEK MESICNE,1995-08-20
535,561,11,POPLATEK MESICNE,1996-12-12
536,562,50,POPLATEK MESICNE,1993-02-25
537,563,53,POPLATEK MESICNE,1993-07-27
538,564,5,POPLATEK MESICNE,1997-12-23
539,565,39,POPLATEK MESICNE,1995-11-25
540,566,8,POPLATEK MESICNE,1997-11-13
541,567,15,POPLATEK MESICNE,1996-06-19
542,568,18,POPLATEK MESICNE,1995-03-28
543,569,76,POPLATEK MESICNE,1996-10-01
544,570,3,POPLATEK MESICNE,1996-11-14
545,571,72,POPLATEK MESICNE,1996-07-16
546,572,32,POPLATEK MESICNE,1994-03-27
547,573,1,POPLATEK TYDNE,1996-07-11
548,574,70,POPLATEK MESICNE,1993-07-30
549,575,38,POPLATEK MESICNE,1994-04-26
550,576,55,POPLATEK MESICNE,1993-01-01
551,577,29,POPLATEK MESICNE,1994-09-20
552,578,28,POPLATEK TYDNE,1997-03-21
553,579,1,POPLATEK MESICNE,1997-12-16
554,580,75,POPLATEK MESICNE,1996-05-20
555,581,26,POPLATEK MESICNE,1996-10-13
556,582,12,POPLATEK MESICNE,1994-08-05
557,584,31,POPLATEK MESICNE,1996-07-14
