,Total day charge,Total intl calls,Area code_415,Area code_510,Total eve minutes,Total day minutes,Total day calls,Voice mail plan,Area code_408,Customer service calls,International plan,Churn,Number vmail messages,Total intl minutes,Total intl charge,Total eve charge
39,20.55,5.0,0.0,0.0,213.0,120.9,97.0,1.0,1.0,2.0,0.0,0.0,28.0,8.5,2.3,18.11
40,31.79,5.0,0.0,0.0,134.6,187.0,133.0,0.0,1.0,2.0,0.0,0.0,0.0,7.4,2.0,11.44
41,22.64,3.0,1.0,0.0,217.2,133.2,135.0,1.0,0.0,1.0,0.0,0.0,24.0,11.0,2.97,18.46
42,32.62,5.0,0.0,0.0,269.8,191.9,108.0,0.0,1.0,3.0,0.0,0.0,0.0,7.8,2.11,22.93
43,37.5,3.0,0.0,0.0,211.1,220.6,57.0,0.0,1.0,1.0,0.0,0.0,0.0,6.8,1.84,17.94
44,27.23,5.0,1.0,0.0,267.5,160.2,117.0,0.0,0.0,2.0,0.0,0.0,0.0,9.3,2.51,22.74
45,25.67,3.0,1.0,0.0,219.7,151.0,83.0,0.0,0.0,5.0,0.0,1.0,0.0,9.7,2.62,18.67
46,29.84,3.0,0.0,0.0,249.3,175.5,67.0,0.0,1.0,1.0,0.0,0.0,0.0,10.2,2.75,21.19
47,21.57,2.0,1.0,0.0,180.0,126.9,98.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,2.16,15.3
48,33.73,3.0,0.0,0.0,75.3,198.4,129.0,1.0,1.0,3.0,0.0,1.0,30.0,5.8,1.57,6.4
49,38.98,8.0,0.0,0.0,177.4,229.3,103.0,0.0,1.0,1.0,0.0,0.0,0.0,12.0,3.24,15.08
50,32.66,4.0,0.0,0.0,169.9,192.1,97.0,0.0,1.0,1.0,0.0,0.0,0.0,11.4,3.08,14.44
51,45.66,3.0,1.0,0.0,178.2,268.6,83.0,1.0,0.0,2.0,0.0,0.0,34.0,11.6,3.13,15.15
52,30.72,3.0,0.0,0.0,187.8,180.7,92.0,1.0,1.0,3.0,0.0,0.0,28.0,12.6,3.4,15.96
53,22.3,6.0,0.0,0.0,162.9,131.2,98.0,0.0,1.0,2.0,0.0,0.0,0.0,8.2,2.21,13.85
54,25.18,5.0,1.0,0.0,169.5,148.1,74.0,1.0,0.0,2.0,0.0,0.0,41.0,6.2,1.67,14.41
55,42.76,4.0,1.0,0.0,212.8,251.5,105.0,0.0,0.0,0.0,1.0,0.0,0.0,9.3,2.51,18.09
56,21.28,8.0,0.0,0.0,206.4,125.2,93.0,0.0,1.0,0.0,1.0,0.0,0.0,8.3,2.24,17.54
57,35.97,1.0,0.0,0.0,216.9,211.6,70.0,0.0,1.0,1.0,0.0,0.0,0.0,7.8,2.11,18.44
58,30.41,3.0,0.0,1.0,169.1,178.9,101.0,0.0,0.0,4.0,0.0,1.0,0.0,13.8,3.73,14.37
59,41.11,7.0,0.0,0.0,170.5,241.8,93.0,0.0,1.0,3.0,0.0,0.0,0.0,11.8,3.19,14.49
60,38.23,2.0,0.0,1.0,188.2,224.9,97.0,1.0,0.0,0.0,0.0,0.0,46.0,12.1,3.27,16.0
61,42.26,4.0,0.0,1.0,148.9,248.6,83.0,0.0,0.0,3.0,0.0,0.0,0.0,8.0,2.16,12.66
62,34.58,4.0,1.0,0.0,226.7,203.4,146.0,0.0,0.0,1.0,0.0,0.0,0.0,7.3,1.97,19.27
63,26.71,2.0,1.0,0.0,223.3,157.1,90.0,0.0,0.0,1.0,0.0,0.0,0.0,6.1,1.65,18.98
64,51.05,4.0,1.0,0.0,181.0,300.3,109.0,0.0,0.0,0.0,0.0,1.0,0.0,11.7,3.16,15.39
65,10.47,7.0,0.0,0.0,77.1,61.6,117.0,0.0,1.0,4.0,0.0,1.0,0.0,8.2,2.21,6.55
66,28.93,2.0,0.0,0.0,155.2,170.2,98.0,0.0,1.0,1.0,0.0,0.0,0.0,15.0,4.05,13.19
67,34.19,2.0,1.0,0.0,303.5,201.1,99.0,0.0,0.0,1.0,0.0,0.0,0.0,13.2,3.56,25.8
68,36.62,5.0,1.0,0.0,204.8,215.4,104.0,0.0,0.0,3.0,1.0,0.0,0.0,12.6,3.4,17.41
69,28.15,2.0,0.0,0.0,136.1,165.6,123.0,1.0,1.0,3.0,0.0,0.0,25.0,11.0,2.97,11.57
70,42.42,4.0,1.0,0.0,259.7,249.5,101.0,1.0,0.0,1.0,0.0,0.0,24.0,9.8,2.65,22.07
71,35.8,1.0,0.0,1.0,249.2,210.6,96.0,0.0,0.0,2.0,0.0,1.0,0.0,12.4,3.35,21.18
72,26.84,5.0,0.0,0.0,155.0,157.9,105.0,0.0,1.0,4.0,0.0,1.0,0.0,8.0,2.16,13.18
73,36.43,2.0,0.0,1.0,208.5,214.3,118.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,3.24,17.72
74,26.2,9.0,1.0,0.0,123.4,154.1,104.0,1.0,0.0,2.0,0.0,0.0,35.0,10.9,2.94,10.49
75,40.44,4.0,1.0,0.0,247.6,237.9,125.0,0.0,0.0,1.0,0.0,1.0,0.0,13.9,3.75,21.05
76,24.46,2.0,0.0,1.0,194.9,143.9,61.0,0.0,0.0,1.0,0.0,0.0,0.0,11.1,3.0,16.57
77,21.13,9.0,1.0,0.0,173.0,124.3,100.0,0.0,0.0,1.0,0.0,0.0,0.0,7.9,2.13,14.71
78,42.99,7.0,1.0,0.0,178.4,252.9,93.0,0.0,0.0,3.0,0.0,0.0,0.0,9.5,2.57,15.16
79,30.45,7.0,1.0,0.0,190.6,179.1,71.0,0.0,0.0,3.0,0.0,0.0,0.0,10.6,2.86,16.2
80,47.33,5.0,0.0,0.0,81.0,278.4,106.0,0.0,1.0,1.0,0.0,0.0,0.0,9.8,2.65,6.89
81,33.69,3.0,1.0,0.0,207.3,198.2,87.0,0.0,0.0,4.0,0.0,0.0,0.0,8.7,2.35,17.62
82,36.06,5.0,0.0,0.0,209.4,212.1,131.0,0.0,1.0,1.0,0.0,1.0,0.0,5.3,1.43,17.8
83,27.4,8.0,0.0,1.0,252.2,161.2,114.0,1.0,0.0,4.0,0.0,0.0,21.0,4.4,1.19,21.44
84,25.79,6.0,1.0,0.0,119.0,151.7,82.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5,2.84,10.12
85,28.99,2.0,0.0,0.0,173.7,170.5,94.0,0.0,1.0,1.0,0.0,0.0,0.0,11.3,3.05,14.76
86,40.48,4.0,0.0,0.0,187.2,238.1,65.0,0.0,1.0,4.0,0.0,0.0,0.0,11.8,3.19,15.91
87,20.04,3.0,0.0,1.0,164.5,117.9,131.0,1.0,0.0,1.0,0.0,0.0,21.0,9.8,2.65,13.98
88,39.07,7.0,0.0,0.0,147.9,229.8,90.0,0.0,1.0,3.0,0.0,0.0,0.0,9.6,2.59,12.57
89,28.05,8.0,0.0,0.0,317.2,165.0,100.0,0.0,1.0,1.0,0.0,0.0,0.0,8.3,2.24,26.96
90,31.45,2.0,1.0,0.0,223.3,185.0,117.0,0.0,0.0,2.0,0.0,0.0,0.0,12.6,3.4,18.98
91,27.37,4.0,0.0,0.0,190.9,161.0,117.0,0.0,1.0,4.0,0.0,0.0,0.0,12.1,3.27,16.23
92,21.54,7.0,0.0,0.0,206.0,126.7,108.0,0.0,1.0,1.0,0.0,0.0,0.0,13.3,3.59,17.51
93,33.46,6.0,0.0,1.0,254.9,196.8,89.0,1.0,0.0,0.0,1.0,1.0,42.0,20.0,5.4,21.67
94,27.64,3.0,0.0,1.0,152.3,162.6,83.0,0.0,0.0,1.0,0.0,0.0,0.0,14.2,3.83,12.95
95,48.03,4.0,1.0,0.0,219.9,282.5,114.0,0.0,0.0,1.0,0.0,1.0,0.0,9.4,2.54,18.69
96,19.33,3.0,0.0,1.0,157.5,113.7,117.0,1.0,0.0,2.0,0.0,0.0,36.0,10.0,2.7,13.39
97,35.73,7.0,0.0,0.0,227.3,210.2,92.0,0.0,1.0,1.0,0.0,0.0,0.0,13.1,3.54,19.32
98,36.35,3.0,0.0,0.0,141.8,213.8,102.0,1.0,1.0,0.0,0.0,0.0,22.0,7.2,1.94,12.05
99,32.42,4.0,0.0,1.0,183.5,190.7,103.0,0.0,0.0,3.0,0.0,0.0,0.0,9.8,2.65,15.6
100,29.05,3.0,1.0,0.0,132.3,170.9,124.0,0.0,0.0,1.0,0.0,0.0,0.0,11.6,3.13,11.25
101,26.21,5.0,0.0,1.0,110.2,154.2,119.0,0.0,0.0,2.0,0.0,0.0,0.0,9.2,2.48,9.37
102,34.24,3.0,0.0,0.0,229.4,201.4,52.0,0.0,1.0,1.0,0.0,0.0,0.0,12.0,3.24,19.5
103,12.02,3.0,1.0,0.0,157.5,70.7,108.0,0.0,0.0,4.0,0.0,1.0,0.0,9.1,2.46,13.39
104,31.88,6.0,0.0,1.0,146.6,187.5,124.0,1.0,0.0,4.0,0.0,1.0,27.0,6.4,1.73,12.46
105,15.59,4.0,0.0,0.0,193.7,91.7,90.0,0.0,1.0,2.0,0.0,0.0,0.0,9.2,2.48,16.46
106,36.41,4.0,0.0,0.0,161.7,214.2,115.0,1.0,1.0,3.0,0.0,0.0,36.0,9.5,2.57,13.74
107,24.74,2.0,1.0,0.0,217.7,145.5,92.0,0.0,0.0,3.0,0.0,0.0,0.0,10.9,2.94,18.5
108,39.27,3.0,1.0,0.0,230.4,231.0,115.0,0.0,0.0,1.0,0.0,0.0,0.0,9.5,2.57,19.58
109,34.05,1.0,0.0,0.0,201.2,200.3,96.0,0.0,1.0,4.0,0.0,0.0,0.0,7.1,1.92,17.1
110,33.49,10.0,0.0,0.0,202.6,197.0,109.0,0.0,1.0,1.0,0.0,0.0,0.0,9.1,2.46,17.22
111,22.08,3.0,0.0,1.0,173.3,129.9,112.0,0.0,0.0,3.0,1.0,0.0,0.0,11.2,3.02,14.73
112,29.89,4.0,1.0,0.0,217.5,175.8,97.0,1.0,0.0,5.0,0.0,0.0,21.0,5.3,1.43,18.49
113,34.53,3.0,0.0,1.0,210.1,203.1,106.0,0.0,0.0,3.0,0.0,0.0,0.0,12.0,3.24,17.86
114,31.14,8.0,0.0,1.0,126.8,183.2,117.0,1.0,0.0,1.0,0.0,0.0,36.0,11.2,3.02,10.78
115,34.85,5.0,1.0,0.0,152.0,205.0,101.0,1.0,0.0,2.0,0.0,0.0,23.0,10.2,2.75,12.92
116,25.25,3.0,0.0,1.0,276.4,148.5,115.0,0.0,0.0,1.0,0.0,0.0,0.0,12.4,3.35,23.49
117,34.05,4.0,1.0,0.0,220.4,200.3,68.0,1.0,0.0,0.0,0.0,0.0,39.0,10.5,2.84,18.73
118,32.74,5.0,1.0,0.0,195.5,192.6,107.0,1.0,0.0,3.0,0.0,0.0,28.0,6.8,1.84,16.62
119,41.91,4.0,0.0,1.0,195.5,246.5,47.0,0.0,0.0,1.0,0.0,0.0,0.0,11.7,3.16,16.62
120,28.41,7.0,0.0,0.0,177.5,167.1,86.0,0.0,1.0,2.0,1.0,1.0,0.0,14.1,3.81,15.09
121,39.42,6.0,1.0,0.0,160.1,231.9,101.0,0.0,0.0,3.0,0.0,0.0,0.0,14.3,3.86,13.61
122,46.16,4.0,0.0,0.0,216.3,271.5,87.0,0.0,1.0,1.0,1.0,0.0,0.0,11.7,3.16,18.39
123,43.81,4.0,0.0,0.0,162.1,257.7,97.0,1.0,1.0,2.0,0.0,0.0,43.0,11.1,3.0,13.78
124,32.95,6.0,0.0,0.0,221.4,193.8,99.0,0.0,1.0,1.0,0.0,0.0,0.0,10.6,2.86,18.82
125,38.42,11.0,1.0,0.0,248.5,226.0,112.0,0.0,0.0,1.0,0.0,0.0,0.0,6.9,1.86,21.12
126,44.27,4.0,1.0,0.0,146.0,260.4,115.0,0.0,0.0,5.0,0.0,0.0,0.0,11.5,3.11,12.41
127,30.38,4.0,0.0,0.0,292.1,178.7,116.0,0.0,1.0,0.0,0.0,0.0,0.0,9.8,2.65,24.83
128,57.36,7.0,1.0,0.0,227.4,337.4,120.0,0.0,0.0,0.0,0.0,1.0,0.0,15.8,4.27,19.33
129,26.79,2.0,0.0,1.0,247.0,157.6,129.0,1.0,0.0,0.0,0.0,0.0,23.0,13.7,3.7,21.0
130,24.16,4.0,0.0,1.0,183.4,142.1,124.0,1.0,0.0,1.0,0.0,0.0,24.0,9.6,2.59,15.59
131,23.17,5.0,1.0,0.0,172.2,136.3,97.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,1.92,14.64
132,36.91,6.0,1.0,0.0,241.5,217.1,110.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,3.24,20.53
133,31.88,5.0,0.0,1.0,241.4,187.5,99.0,1.0,0.0,3.0,0.0,0.0,36.0,10.5,2.84,20.52
134,16.81,1.0,1.0,0.0,135.4,98.9,103.0,0.0,0.0,1.0,0.0,0.0,0.0,12.2,3.29,11.51
135,35.07,3.0,1.0,0.0,148.6,206.3,151.0,0.0,0.0,1.0,0.0,0.0,0.0,6.1,1.65,12.63
136,41.33,2.0,1.0,0.0,213.8,243.1,92.0,1.0,0.0,2.0,0.0,0.0,33.0,12.1,3.27,18.17
137,32.27,3.0,0.0,1.0,163.3,189.8,126.0,1.0,0.0,1.0,0.0,0.0,31.0,7.5,2.03,13.88
138,34.34,3.0,1.0,0.0,243.2,202.0,102.0,0.0,0.0,1.0,0.0,0.0,0.0,10.9,2.94,20.67
139,28.92,4.0,0.0,0.0,193.3,170.1,124.0,1.0,1.0,1.0,0.0,0.0,38.0,12.8,3.46,16.43
140,40.31,2.0,0.0,0.0,223.5,237.1,105.0,0.0,1.0,1.0,0.0,0.0,0.0,13.2,3.56,19.0
141,37.26,5.0,0.0,0.0,149.4,219.2,92.0,0.0,1.0,0.0,0.0,0.0,0.0,6.1,1.65,12.7
142,42.94,7.0,1.0,0.0,169.0,252.6,104.0,0.0,0.0,2.0,0.0,0.0,0.0,11.1,3.0,14.37
143,25.01,3.0,1.0,0.0,190.4,147.1,91.0,0.0,0.0,0.0,0.0,0.0,0.0,12.2,3.29,16.18
144,29.5,10.0,0.0,0.0,194.1,173.5,93.0,0.0,1.0,3.0,0.0,0.0,0.0,16.2,4.37,16.5
145,39.46,0.0,0.0,0.0,292.3,232.1,122.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,24.85
146,33.51,5.0,0.0,1.0,214.5,197.1,125.0,1.0,0.0,4.0,1.0,0.0,23.0,9.5,2.57,18.23
147,9.89,1.0,1.0,0.0,138.7,58.2,94.0,0.0,0.0,5.0,0.0,1.0,0.0,11.9,3.21,11.79
148,19.65,12.0,0.0,0.0,237.7,115.6,111.0,1.0,1.0,2.0,0.0,0.0,36.0,9.9,2.67,20.2
149,31.64,7.0,0.0,0.0,254.3,186.1,98.0,0.0,1.0,2.0,0.0,0.0,0.0,14.6,3.94,21.62
150,44.18,3.0,0.0,1.0,245.0,259.9,68.0,0.0,0.0,3.0,1.0,0.0,0.0,8.4,2.27,20.83
151,36.43,13.0,1.0,0.0,268.5,214.3,145.0,0.0,0.0,1.0,0.0,0.0,0.0,10.8,2.92,22.82
152,26.98,4.0,0.0,0.0,64.3,158.7,74.0,0.0,1.0,1.0,0.0,0.0,0.0,10.2,2.75,5.47
153,27.3,3.0,0.0,1.0,163.2,160.6,111.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,2.43,13.87
154,39.51,3.0,0.0,0.0,187.4,232.4,109.0,0.0,1.0,1.0,0.0,0.0,0.0,9.1,2.46,15.93
155,22.75,4.0,1.0,0.0,180.5,133.8,85.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9,2.4,15.34
156,30.07,2.0,1.0,0.0,90.7,176.9,109.0,0.0,0.0,1.0,0.0,0.0,0.0,9.5,2.57,7.71
157,35.68,4.0,0.0,0.0,195.1,209.9,74.0,0.0,1.0,2.0,0.0,0.0,0.0,8.8,2.38,16.58
158,23.38,2.0,1.0,0.0,203.2,137.5,118.0,0.0,0.0,0.0,0.0,0.0,0.0,13.4,3.62,17.27
159,49.22,4.0,0.0,0.0,166.6,289.5,52.0,1.0,1.0,1.0,0.0,0.0,23.0,9.5,2.57,14.16
160,33.68,6.0,1.0,0.0,177.0,198.1,86.0,1.0,0.0,1.0,0.0,0.0,23.0,6.8,1.84,15.05
161,25.45,8.0,1.0,0.0,182.2,149.7,119.0,0.0,0.0,0.0,0.0,0.0,0.0,9.7,2.62,15.49
162,49.79,7.0,0.0,1.0,199.7,292.9,101.0,1.0,0.0,4.0,1.0,1.0,26.0,13.8,3.73,16.97
163,14.11,3.0,0.0,0.0,177.0,83.0,64.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,3.51,15.05
164,24.77,5.0,1.0,0.0,220.5,145.7,146.0,1.0,0.0,3.0,0.0,0.0,24.0,13.1,3.54,18.74
165,30.99,1.0,0.0,0.0,328.2,182.3,101.0,0.0,1.0,2.0,0.0,0.0,0.0,11.2,3.02,27.9
166,37.06,8.0,1.0,0.0,184.0,218.0,86.0,0.0,0.0,3.0,0.0,0.0,0.0,6.4,1.73,15.64
167,23.9,3.0,0.0,1.0,178.6,140.6,109.0,0.0,0.0,2.0,0.0,0.0,0.0,6.8,1.84,15.18
168,25.96,4.0,1.0,0.0,257.5,152.7,105.0,0.0,0.0,1.0,0.0,0.0,0.0,9.4,2.54,21.89
169,18.14,2.0,1.0,0.0,209.8,106.7,76.0,1.0,0.0,1.0,0.0,0.0,36.0,12.1,3.27,17.83
170,33.05,5.0,1.0,0.0,186.7,194.4,94.0,0.0,0.0,3.0,0.0,0.0,0.0,10.8,2.92,15.87
171,36.36,5.0,0.0,1.0,151.9,213.9,95.0,0.0,0.0,3.0,0.0,0.0,0.0,12.2,3.29,12.91
172,36.92,7.0,0.0,1.0,246.7,217.2,112.0,0.0,0.0,3.0,0.0,0.0,0.0,15.8,4.27,20.97
173,34.6,11.0,0.0,1.0,247.6,203.5,100.0,0.0,0.0,0.0,1.0,0.0,0.0,11.9,3.21,21.05
174,26.38,3.0,1.0,0.0,244.5,155.2,131.0,1.0,0.0,1.0,0.0,0.0,24.0,10.7,2.89,20.78
175,28.49,6.0,0.0,0.0,113.0,167.6,139.0,1.0,1.0,1.0,0.0,0.0,31.0,12.2,3.29,9.61
176,38.54,4.0,0.0,1.0,228.1,226.7,98.0,0.0,0.0,2.0,1.0,1.0,0.0,17.6,4.75,19.39
177,30.48,6.0,1.0,0.0,178.6,179.3,93.0,0.0,0.0,3.0,0.0,0.0,0.0,11.5,3.11,15.18
178,25.74,3.0,1.0,0.0,186.4,151.4,89.0,0.0,0.0,0.0,0.0,0.0,0.0,10.9,2.94,15.84
179,30.6,7.0,1.0,0.0,224.2,180.0,80.0,0.0,0.0,3.0,0.0,0.0,0.0,4.7,1.27,19.06
180,42.53,2.0,1.0,0.0,267.1,250.2,121.0,0.0,0.0,1.0,0.0,1.0,0.0,13.0,3.51,22.7
181,37.91,12.0,1.0,0.0,110.1,223.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,7.1,1.92,9.36
182,31.21,6.0,1.0,0.0,152.6,183.6,116.0,0.0,0.0,3.0,0.0,0.0,0.0,12.2,3.29,12.97
183,28.22,6.0,0.0,0.0,174.5,166.0,114.0,1.0,1.0,1.0,0.0,0.0,22.0,10.2,2.75,14.83
184,25.38,6.0,0.0,0.0,242.2,149.3,113.0,0.0,1.0,2.0,0.0,0.0,0.0,8.9,2.4,20.59
185,11.12,1.0,0.0,0.0,168.2,65.4,97.0,0.0,1.0,2.0,0.0,0.0,0.0,13.8,3.73,14.3
186,35.17,2.0,1.0,0.0,244.7,206.9,85.0,0.0,0.0,3.0,0.0,0.0,0.0,7.7,2.08,20.8
187,31.65,3.0,0.0,0.0,189.6,186.2,78.0,1.0,1.0,2.0,0.0,0.0,27.0,9.6,2.59,16.12
188,47.63,3.0,1.0,0.0,220.5,280.2,136.0,1.0,0.0,4.0,0.0,0.0,23.0,13.3,3.59,18.74
189,53.04,2.0,0.0,0.0,129.4,312.0,109.0,0.0,1.0,0.0,1.0,1.0,0.0,10.5,2.84,11.0
190,33.83,6.0,1.0,0.0,291.3,199.0,110.0,1.0,0.0,1.0,1.0,0.0,36.0,11.0,2.97,24.76
191,34.53,2.0,1.0,0.0,217.0,203.1,96.0,0.0,0.0,3.0,0.0,0.0,0.0,13.5,3.65,18.45
192,28.7,2.0,1.0,0.0,220.3,168.8,97.0,0.0,0.0,0.0,0.0,0.0,0.0,10.9,2.94,18.73
193,29.43,5.0,1.0,0.0,240.3,173.1,140.0,0.0,0.0,1.0,1.0,0.0,0.0,9.0,2.43,20.43
194,34.44,9.0,0.0,0.0,118.8,202.6,103.0,1.0,1.0,2.0,0.0,0.0,40.0,9.0,2.43,10.1
195,12.67,7.0,0.0,0.0,200.8,74.5,117.0,0.0,1.0,3.0,0.0,0.0,0.0,9.8,2.65,17.07
196,32.67,6.0,1.0,0.0,168.6,192.2,86.0,0.0,0.0,1.0,0.0,0.0,0.0,9.4,2.54,14.33
197,37.43,5.0,0.0,1.0,88.3,220.2,89.0,0.0,0.0,0.0,0.0,0.0,0.0,12.9,3.48,7.51
198,22.97,2.0,1.0,0.0,134.1,135.1,95.0,0.0,0.0,2.0,1.0,1.0,0.0,12.3,3.32,11.4
199,43.08,2.0,1.0,0.0,182.4,253.4,77.0,0.0,0.0,1.0,0.0,0.0,0.0,8.4,2.27,15.5
200,38.25,2.0,0.0,0.0,176.9,225.0,81.0,0.0,1.0,3.0,0.0,0.0,0.0,7.1,1.92,15.04
201,33.75,3.0,0.0,0.0,267.8,198.5,99.0,0.0,1.0,0.0,0.0,1.0,0.0,9.4,2.54,22.76
202,18.75,5.0,0.0,0.0,166.5,110.3,107.0,0.0,1.0,0.0,0.0,0.0,0.0,9.5,2.57,14.15
203,10.2,3.0,1.0,0.0,102.2,60.0,102.0,1.0,0.0,0.0,0.0,0.0,37.0,11.1,3.0,8.69
204,36.52,5.0,0.0,1.0,149.7,214.8,94.0,0.0,0.0,0.0,0.0,0.0,0.0,10.2,2.75,12.72
205,26.76,11.0,1.0,0.0,117.9,157.4,99.0,1.0,0.0,4.0,0.0,1.0,29.0,13.9,3.75,10.02
206,35.34,7.0,1.0,0.0,172.0,207.9,91.0,0.0,0.0,4.0,0.0,0.0,0.0,14.4,3.89,14.62
207,35.19,8.0,0.0,0.0,232.9,207.0,90.0,0.0,1.0,3.0,0.0,0.0,0.0,9.1,2.46,19.8
